compilation,reference,site,Proxy,Latitude,Longitude,recon_anom,weight,ACCESS-ESM1-5,AWI-ESM-1-1-LR,BCC-CSM1-1,CCSM4,CESM2,CNRM-CM5,CSIRO-Mk3-6-0,EC-Earth3,EC-Earth3-LR,FGOALS-f3-L,FGOALS-g2,FGOALS-g3,FGOALS-s2,GISS-E2-1-G,GISS-E2-R,HadGEM2-CC,HadGEM2-ES,HadGEM3-GC31-LL,INM-CM4-8,IPSL-CM5A-LR,IPSL-CM6A-LR,MIROC-ES2L,MIROC-ESM,MPI-ESM-P,MPI-ESM1-2-LR,MRI-CGCM3,MRI-ESM2-0,NESM3,NorESM1-F,NorESM2-LM,UofT-CCSM-4
Bartlein,Bartlein et al. 2011,,pollen MAT,29.0,-81.0,2.539,1.0,-0.24296157836914065,-0.6444159866962316,-0.10839272476731897,-0.18623667668218566,0.07771888732910141,0.16869682971664027,-0.09066596089374147,-0.3626600038236584,-0.09851529658729627,-0.3571165084838867,-0.44284600233510096,-0.040187013149261555,-0.17095135254619986,-0.33150405883789064,-0.4363428115844727,0.2611362457275391,0.4299595642089844,0.08080345153808592,-0.29549916585286456,0.0018009512029525578,-0.3662215868755885,-0.4518524136783783,-0.2625376169256729,-0.18245845037920252,-0.28743504170707534,0.005129424434797547,-0.167620295471611,-0.1954049647349314,-0.09747779634263778,-0.1352668550279405,-0.17089331097073035
Bartlein,Bartlein et al. 2011,,pollen MAT,45.0,-73.0,0.5239,1.0,-0.1980576515197754,-0.2200824950677884,-0.37299511893676124,-0.7676813483984705,-0.21089122295379734,0.3195552515188853,0.22425578083849496,0.2043352585052845,0.07010022410237912,-0.4872561812400818,-0.7007901639249309,0.2997377701103688,-0.2653867653411777,-0.3195929527282715,-0.17369709014892576,0.2466184457143148,0.5876745223999024,0.1480778892834981,-0.6583442687988281,0.13767578634351568,-0.4502366781234741,-0.8277866652880936,-0.5106137706843068,0.008101141478534768,-0.5477033898173078,0.1618838475639789,-0.2579247402628548,-1.0522306221792221,-0.4937067031860353,-0.33242678642272866,-0.24527553319931036
Bartlein,Bartlein et al. 2011,,pollen MAT,45.0,-79.0,0.0033,1.0,-0.11199712753295898,-0.11524143618526884,-0.41627696547350135,-0.6659374821848927,-0.17558629512786708,0.4108916745036949,0.32483609454716067,0.07001550244795027,0.08263049865943589,-0.5354807734489441,-0.7634297032081778,-0.006332874298095606,-0.3031347689463677,-0.3559819936752319,-0.2871284484863281,0.23244368235270182,0.3817628860473633,0.16217134396235147,-0.737052321434021,0.156705462302995,-0.44559259414672847,-0.8720711332909249,-0.6401677270461497,0.06165468551829639,-0.5067301559720492,0.1910240617293913,-0.4099082053843558,-0.3824100009688058,-0.5234236478805546,-0.2744727611541749,-0.39415432214736956
Bartlein,Bartlein et al. 2011,,pollen MAT,43.0,-89.0,-0.0183,1.0,0.0517690912882487,0.5366485299299644,-0.3570029648984918,-0.6566103738992018,-0.6087823666466609,0.5228153947611116,0.2812928909444819,-0.0898298394966976,-0.13732194226625005,-0.6096821784973144,-0.8507840657001176,-0.13229040801525188,-0.2790738582656039,-0.4586968421936035,-0.4141726016998291,0.36549198150634765,0.6376537322998046,0.08036746978759766,-0.7061326106389364,-0.12354834056289096,-0.5544075780639593,-1.1030943699169895,-0.5534798812893487,0.20012783378874294,-0.27912039043881004,0.2580634311674548,-0.2541519839532383,-1.5504174561053472,-0.5770282692379425,-0.37072516017489837,-0.5133132055070665
Bartlein,Bartlein et al. 2011,,pollen MAT,43.0,-71.0,-0.408,1.0,-0.18131956736246746,-0.3202496895786242,-0.30570803974153493,-0.6175214140490092,-0.03580051845974426,0.34914197328176666,0.1952072454329081,0.025309460500448654,-0.0014449167329706573,-0.43956320285797124,-0.6294793008200623,0.06770834475755709,-0.17723883060418322,-0.2222146987915039,-0.1342097282409668,0.2318317413330078,0.5809904861450196,0.17595406691233317,-0.46879903475443524,0.22302732008236048,-0.3877650231178128,-0.6658534577747921,-0.29241250805617947,0.001022962697498876,-0.5060899309130925,0.10473128804144896,-0.2682623795517096,-0.7113033353401853,-0.44231459299723336,-0.4127268393834426,-0.16357611868116587
Bartlein,Bartlein et al. 2011,,pollen MAT,45.0,-77.0,0.0348,1.0,-0.14319181442260742,-0.1053976441997859,-0.414411180345388,-0.739453673827029,-0.13989219665527375,0.3830357080877217,0.32355731687425626,0.083516419914786,0.056464684157930364,-0.5198498010635376,-0.7319846252074322,0.11529245972633378,-0.29998902170098685,-0.3410918951034546,-0.2633842468261719,0.2508588155110677,0.3999677022298177,0.1800064007441203,-0.7320684194564819,0.1426802166509196,-0.4230153799057007,-0.8664921800184107,-0.5614871608702809,0.05466777211396482,-0.5145920477041829,0.17330309993970652,-0.33050645305581455,-0.659708583321744,-0.5059953689575198,-0.2604233264923098,-0.35891238451004037
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,-85.0,0.3112,1.0,-0.16684522628784182,-0.3512370814546074,-0.3683809510632967,-0.6915384122339676,-0.38753756417168583,0.3953862473090894,0.37534977914846746,-0.055816777712434845,0.10649808060006924,-0.5868886411190033,-0.8548786938782826,-0.3015411539003256,-0.35033277363543047,-0.3731048107147217,-0.2741965055465698,-0.14067091941833498,0.010442574818929018,0.016746034224828087,-0.7516113122304281,-0.013953053779787504,-0.6189746402679263,-0.9182097030773642,-0.8694973444593677,0.0033346798748792126,-0.5452235180400204,0.24422112712780125,-0.48410345293798945,-0.16075355719460815,-0.6275532179408605,-0.4084093901846135,-0.5748798744546042
Bartlein,Bartlein et al. 2011,,pollen MAT,59.0,-73.0,-3.364,1.0,0.2691466776529948,-0.7297410818622511,0.21026804743410968,-0.7253462397488178,0.22304005516899963,0.41554336170024253,0.1574792663637237,0.22176640550022486,0.7542795861589974,-0.3776007175445557,-0.6394860060803558,0.37390835285186874,0.18655825058894218,0.04514350891113281,0.2543473243713379,1.521788190205892,1.0263105010986329,0.6268152046203613,-0.2489180167516073,0.10227966844465221,-0.4947520139151762,-0.3656167894094483,-1.573476698746381,0.06667522367690347,-0.3669909485264466,0.4856993278426045,-0.3903676500939618,-0.2821209871397486,-0.47914028432634115,-0.11398052639431383,0.3266846625010176
Bartlein,Bartlein et al. 2011,,pollen MAT,45.0,-91.0,0.5803,1.0,0.08736483256022134,0.41680237577136703,-0.310741911128528,-0.5668296578309272,-0.46182997226715156,0.5615940836781423,0.4129308179446072,0.03377425994013926,-0.06556474537732758,-0.5977473139762879,-0.874207289247773,-0.011861521750688563,-0.3152841585983553,-0.36187448501586916,-0.3361335277557373,0.05110006332397461,0.5271917343139649,-0.017845447858174643,-0.8485112190246582,-0.15445901122626984,-0.5273025512695313,-1.0742911759622293,-0.8150626120830227,0.29025146220249964,-0.30326997101115416,0.2590979099645952,-0.20932413500001723,-1.0297594775056282,-0.6390981197357178,-0.23372871875763024,-0.49519128799438483
Bartlein,Bartlein et al. 2011,,pollen MAT,55.0,-61.0,-7.409,1.0,0.42531981468200686,-0.6194106581894072,-0.04646124309536247,-0.5227139473600305,0.18156880007849796,0.39709726633127673,0.1507775686168905,0.35660163333686307,0.9555065106528182,-0.44711172580718983,-0.5418101981565535,0.8188605830073363,0.10881714609023858,-0.3309049606323243,0.9902056694030762,1.274114481608073,1.1336612383524578,0.7200946569442749,-0.24702598651250207,0.15105748539949426,-0.39931706478192547,-0.4844322966125179,-1.3191044093639899,-0.023959909912664893,-0.3766024231346288,0.31824518201280594,-0.17972160475984883,-0.4778573633819012,-0.5423850602573818,-0.16952262719472241,-0.35439439349704277
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,-71.0,2.1076,1.0,-0.16287670135498047,-0.594125001780329,-0.32018429507067,-0.703555338785139,-0.27916165775723006,0.3163846185164658,0.17244210729203194,0.15350623303793398,0.1653434377328066,-0.47319286018609996,-0.6425183938521555,0.3386923745274545,-0.1849414969060424,-0.34913949966430663,-0.039323616027832034,0.28940163850784306,0.37031973838806154,0.14140394603212675,-0.5779309868812561,0.15322585351988033,-0.43182431056833864,-0.867591018879293,-0.7024764399483931,-0.05976376206440165,-0.5920668439163035,0.1777189789760648,-0.28846765803305024,-0.5398134402033499,-0.5351532247331411,-0.29727232389980013,-0.26731141255961516
Bartlein,Bartlein et al. 2011,,pollen MAT,45.0,-71.0,1.0954,1.0,-0.18998905817667644,-0.349579381123008,-0.3303963298049546,-0.6198702708511159,-0.07446343898773404,0.32335942421084135,0.18447304642130255,0.08410429291184351,0.08419203981482948,-0.46541504859924315,-0.6524664105562918,0.2597777768969538,-0.19593388996467398,-0.3103798389434814,-0.13281087875366213,0.2601966698964437,0.41845118204752607,0.15529818534851075,-0.5820543766021729,0.16117863889006562,-0.4127073287963867,-0.8319289188605116,-0.5152528820104583,-0.026423828001889884,-0.5644540654862266,0.14877303674199854,-0.2603656676050611,-0.9008746287567273,-0.4922867774963382,-0.3150697231292719,-0.2510539889335633
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,-75.0,0.9715,1.0,-0.17430667877197265,-0.4330789060361074,-0.3489377479819341,-0.6079683579324081,-0.14336110750833989,0.32662089015598655,0.24161685358596408,0.02579220138401889,0.1364583172307148,-0.5049976855516434,-0.6899507021271134,0.2097659393679348,-0.23764391625874473,-0.3627445101737976,-0.13178014755249023,0.2496680498123169,0.3255115509033203,0.17598065212368966,-0.6803977290789287,0.11459928359950869,-0.46161334037065066,-0.8774458695085786,-0.7383733456813261,-0.013932146780504917,-0.5852868627327003,0.19305155832341242,-0.3144415557566434,-0.44881957774391834,-0.5262556870778405,-0.3309920993116183,-0.3222208559513091
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,-95.0,0.3464,1.0,0.12826900482177733,0.45821158482669855,-0.2303300095773254,-0.5406234556000951,-0.39918336868286086,0.5602717553593869,0.5020608004007041,0.1713617803630602,0.10559530713070461,-0.5386185646057129,-0.9287916145176031,-0.03307081498205706,-0.29811717726170917,-0.2564190626144409,-0.3003894090652466,-0.21708091100056967,-0.0023257255554199278,0.009595497449239095,-0.8081856568654379,-0.16723325381524712,-0.4303968014934717,-0.9686382793211105,-0.8730237495350552,0.3613375764401926,-0.13806951613442034,0.408022075001418,0.08300537579953007,-0.05943913975939721,-0.6723262733883331,-0.3505680561065675,-0.5617393136024476
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,-73.0,1.9152,1.0,-0.1731927744547526,-0.49237804535814333,-0.33513746706670255,-0.6672194200073834,-0.20229349480734898,0.3197725263007023,0.19605272001217905,0.0503655063628633,0.1528219039815241,-0.49097779095172883,-0.6666205801337777,0.280992547422647,-0.21097619142769178,-0.36170364618301387,-0.08707489967346191,0.26403535604476924,0.34977632204691567,0.14941848302880925,-0.6368529597918193,0.1345832806998146,-0.44673571026723974,-0.8442298349809906,-0.6237817569425343,-0.03796093644668554,-0.5879119604504672,0.1897695317800686,-0.29778049346879093,-0.47729664852334724,-0.5275907251569963,-0.3102664331595121,-0.2964420917299059
Bartlein,Bartlein et al. 2011,,pollen MAT,45.0,-93.0,-0.3771,1.0,0.1142120361328125,0.6442235986642936,-0.26850026133719573,-0.614281727578443,-0.6257121562957744,0.5699043025212092,0.4950709506861514,-0.06276878398080477,-0.061088898931553164,-0.5937880039215089,-0.8842954534733005,-0.005744453519582764,-0.2855377478695789,-0.33336696624755857,-0.3243678569793701,-0.07909431457519531,0.4246501922607422,-0.016295528411865233,-0.8231453895568848,-0.15717934923199475,-0.46663119792938235,-1.109462531358927,-0.8451869987856315,0.33680090906459315,-0.20482331760063927,0.27572328590311623,-0.12516941425135622,-0.651167768912846,-0.6408669948577882,-0.37573826313018605,-0.5309446573257447
Bartlein,Bartlein et al. 2011,,pollen MAT,57.0,-77.0,-0.35,1.0,-0.051776002248128256,-0.855404447434056,0.04753564760282444,-0.5681163409261126,0.07357840538024919,0.3899804385285605,0.24853000123011754,0.03567482155462401,0.4769690457170143,-0.46948096752166746,-0.6999635335135943,0.09116519987583285,0.10742664902076968,-0.40534763336181645,0.01079697608947754,0.7835866419474283,0.7101797485351562,0.32059663136800126,-0.35167765617370605,0.07780141968085888,-0.4894913419487417,-0.6883549570323645,-1.893600737657187,-0.13254293734819722,-0.6705361691256752,0.4757610985655384,-0.5708193133460733,-0.2807378072704638,-0.6128987073898314,-0.40938355127970355,0.12781830787658696
Bartlein,Bartlein et al. 2011,,pollen MAT,43.0,-69.0,-0.95,1.0,-0.13875709533691408,-0.44843078532952213,-0.22350615000605462,-0.5289335428204168,-0.4049583456251358,0.39029880314784027,0.15414493330334497,0.11079533468254808,-0.0043003241775456235,-0.4002832889556885,-0.5829780745709389,-0.0666277751326571,-0.13647788492747898,-0.1981058120727539,-0.012109661102294918,0.03915687561035157,0.2822932815551758,0.18528904914855956,-0.44629470507303876,0.3246096294204175,-0.2742133202426015,-0.5849146686613054,-0.27069383680594367,-0.033421564335344336,-0.5357924691654089,0.0840089881915862,-0.2886247924493205,-0.37250566735219015,-0.49771137237548824,-0.44605847729576875,0.005464326010810019
Bartlein,Bartlein et al. 2011,,pollen MAT,55.0,-105.0,-0.376,1.0,0.0463557243347168,-0.4727513545061223,-0.16648450832967912,-0.6837884644062447,-0.1101544780863655,0.6099706730144614,0.6066887335319768,-0.11789249930943266,0.1402928477856612,-0.3938180804252621,-1.1225691508352356,-0.0801632252987483,-0.27097468864214935,-0.1588573455810547,-0.10223172605037689,-0.021634817123413086,-0.5657526850700378,-0.19382277131080627,-0.7912980963786443,-0.16856916827409618,-0.7019892035365942,-0.7150876626530591,-0.4485300210271716,0.048825337371899626,-0.6483760297849207,0.15355516910954425,-0.13899216515366936,0.013673295493386585,-0.7974195745256212,-0.24502686576710814,-0.6290968788994683
Bartlein,Bartlein et al. 2011,,pollen MAT,41.0,-85.0,-0.432,1.0,0.08109124501546225,0.41245319442638007,-0.38902501893455665,-0.41842410658286056,0.26687583393520675,0.4877961424233347,0.12609364236251352,-0.16187542982627737,-0.11501600205842509,-0.5645923614501953,-0.7580644124441157,0.004657390713689419,-0.28749541512562277,-0.421170711517334,-0.4757075309753418,0.7409334818522135,1.1813571294148764,0.11548770268758138,-0.7224149703979492,-0.06158249937554753,-0.5087924301790218,-1.0864335972236778,-0.38652358576278356,0.007508008864493753,-0.31060369003379296,0.19568345953133714,-0.24889658527233904,-1.597389895047583,-0.45164632797241244,0.2897350523206919,-0.13364544974433026
Bartlein,Bartlein et al. 2011,,pollen MAT,51.0,-99.0,1.238,1.0,-0.04631181716918946,0.07590826595955137,-0.22461166517536096,-0.5999497672451715,-0.36002369801203443,0.5466100717189658,0.5955646362729139,0.22353944650699292,0.2665940285147629,-0.4865544274449348,-1.0607434703207357,-0.21114485114812925,-0.28678807966230757,-0.1695894241333008,-0.2366563081741333,0.16717050552368165,0.19163360595703127,-0.08487320899963378,-0.8472381234169006,-0.18699688456579575,-0.5054355126652487,-0.81437215856776,-1.260715515571569,0.30147475394078954,-0.12244515735596381,0.41855847294279486,-0.001351039171193385,0.18542733356210672,-0.7928802768389382,-0.3485850413640339,-0.6667487460374832
Bartlein,Bartlein et al. 2011,,pollen MAT,41.0,-83.0,-0.213,1.0,-0.01298512776692708,0.26249732792059444,-0.401979932574776,-0.4450387671612169,0.3774304050869374,0.4555703949408853,0.14039381558168945,-0.17719585804305785,-0.11073353394196099,-0.533341097831726,-0.7292246676409884,-0.03929393887520067,-0.2971406181526059,-0.3968172073364258,-0.4676638603210449,0.6506548436482746,1.0838518397013346,0.12361533482869465,-0.6584587891896565,-0.027113668431184058,-0.4662819191592258,-1.0225895212636913,-0.3227137482825139,0.023542894340645982,-0.3114320954286927,0.1737400193436326,-0.2962266983238917,-1.3336000954010252,-0.4049290021260582,-0.13643425835503534,-0.11752939224243122
