compilation,reference,site,Proxy,Latitude,Longitude,recon_anom,weight,CESM2,EC-Earth3-LR,GISS-E2-1-G,HadGEM3-GC31-LL,IPSL-CM6A-LR,NorESM1-F,UofT-CCSM-4
Foley-Dowsett,Foley & Dowsett 2019,Monte dei Corvi PP1,Uk'37 SST,43.35,13.34,8.57,1.0,6.091687177778881,7.504535849206764,0.627836150455475,5.65979128712972,3.914920321108424,1.8056272642453501,3.964383914489748
Foley-Dowsett,Foley & Dowsett 2019,DSDP 593,Uk'37 SST,-40.51,167.67,0.51,1.0,4.243402131414201,3.006636493554993,1.376563876724243,3.9020789290618896,1.656840669924709,1.4183314243263667,3.2895153943405138
Foley-Dowsett,Foley & Dowsett 2019,DSDP 594,Uk'37 SST,-45.52,174.95,1.24,1.0,4.369684507751465,2.6394472574996635,1.8140363136291509,3.6712793498484295,1.7474076614436465,1.3305930533515085,3.6365563012017144
Foley-Dowsett,Foley & Dowsett 2019,DSDP 607,Uk'37 SST,41.0,-32.97,3.44,1.0,5.181850686052115,9.494320984632246,2.0993246078491206,4.547316506958008,3.520161499218813,1.7619467709859227,3.4772934521993006
Foley-Dowsett,Foley & Dowsett 2019,DSDP 609,Uk'37 SST,49.88,-24.23,5.15,1.0,5.951779174360487,9.198323226801868,2.3891005960083014,4.020813595342,4.159609238434525,2.7845969178348136,8.139502537972355
Foley-Dowsett,Foley & Dowsett 2019,ODP 625,Uk'37 SST,28.83,-87.16,2.3,1.0,3.3311014864934267,4.740740115018424,0.8112877618789628,4.260295144999189,2.011363786434388,1.307931506055197,3.305722184158326
Foley-Dowsett,Foley & Dowsett 2019,ODP 642,Uk'37 SST,67.23,2.93,7.02,1.0,5.191855543325425,10.182221784886803,4.719792564353945,6.614751919425966,3.6011666830662303,1.6755268434858277,9.264865456432348
Foley-Dowsett,Foley & Dowsett 2019,ODP 662,Uk'37 SST,-1.39,-11.74,2.09,1.0,3.665012833596971,4.3027970755282485,0.9632764488220215,3.810612743754069,2.014399557582734,1.1580627470694649,2.42456353312344
Foley-Dowsett,Foley & Dowsett 2019,ODP 677,Uk'37 SST,1.2,-84.73,2.28,1.0,4.33828128499349,2.4372719999036594,1.1818656967163095,4.204352040100099,2.1826974538656447,1.0625851145426435,2.5460121600341803
Foley-Dowsett,Foley & Dowsett 2019,ODP 722,Uk'37 SST,16.62,59.8,1.8,1.0,3.5655075537618,3.6737893360052682,1.0901560173034668,4.35543416168213,2.5281488962888163,1.5352002414703367,2.4552379704793292
Foley-Dowsett,Foley & Dowsett 2019,ODP 846,Uk'37 SST,-3.1,-90.82,2.52,1.0,4.578753985256619,3.5038520100652084,1.230205102157593,4.456637917429607,2.3051711976528257,1.1767763039906822,2.502910820337931
Foley-Dowsett,Foley & Dowsett 2019,ODP 882,Uk'37 SST,50.36,167.6,3.86,1.0,5.150401969061957,6.051514459807065,2.6798527915954584,5.719649625638326,3.073043431049396,1.8481940591812136,4.470455733362834
Foley-Dowsett,Foley & Dowsett 2019,ODP 883,Uk'37 SST,51.2,167.77,3.29,1.0,5.174273065609402,6.074540611856091,2.794809856796265,5.716267337570191,3.120818636633602,1.8333224423514474,4.693916996892294
Foley-Dowsett,Foley & Dowsett 2019,ODP 907,Uk'37 SST,69.25,12.7,-0.23,1.0,5.029655103392071,10.987720302982272,3.338740854263306,6.577154762903849,3.634768966601172,2.131465660333634,7.375212872743609
Foley-Dowsett,Foley & Dowsett 2019,ODP 909,Uk'37 SST,78.59,3.07,14.6,1.0,10.821143586107034,14.762650848927702,9.783840096588136,12.848733895034796,8.61200999282011,1.676495363527282,15.14985604231686
Foley-Dowsett,Foley & Dowsett 2019,*ODP 925,Uk'37 SST,4.2,-43.49,1.39,1.0,3.098030993499756,3.5078431466252016,1.0067586303710936,3.7856460161844887,2.1655152618248175,1.1883416015625001,2.555010571492513
Foley-Dowsett,Foley & Dowsett 2019,ODP 958,Uk'37 SST,24.0,-20.0,3.49,1.0,3.5292285919189457,4.747414769839862,0.6214456558227539,3.3597219467163084,3.146099599202474,1.2383486429850257,2.387810897827148
Foley-Dowsett,Foley & Dowsett 2019,ODP 978,Uk'37 SST,36.23,-2.05,9.1,1.0,5.021263934381271,7.250198324726776,1.5944987979888863,4.665871280314128,4.153028724986787,1.831995528146956,4.5750306354395605
Foley-Dowsett,Foley & Dowsett 2019,ODP 982,Uk'37 SST,57.52,-15.87,6.53,1.0,5.256778041937934,7.749151400304764,2.6916132741546637,4.394860781539917,4.1070953570691,2.8987651206631133,7.626909183291967
Foley-Dowsett,Foley & Dowsett 2019,ODP 999,Uk'37 SST,12.75,-78.73,0.41,1.0,2.880633154487611,2.605030756095188,0.866706878662109,3.4206621726989748,2.3059472342633263,1.171103172938029,2.480826048215231
Foley-Dowsett,Foley & Dowsett 2019,ODP 1010,Uk'37 SST,29.97,-118.1,0.32,1.0,3.5105030706405644,3.078388612177287,1.0411599942207337,4.168693755594889,1.5344495152386828,0.5215716657638556,0.8663740434646605
Foley-Dowsett,Foley & Dowsett 2019,ODP 1018,Uk'37 SST,36.99,-123.28,1.23,1.0,3.5992626495018,3.672060267614366,0.6343728953552242,4.594551926559449,2.388560251862147,0.5289702858161931,0.9446663336868287
Foley-Dowsett,Foley & Dowsett 2019,ODP 1062,Uk'37 SST,28.25,-74.41,-2.32,1.0,3.4143889863967916,3.64372824397804,1.0801804332733163,4.060885860951744,2.2027935311938505,1.0750351224475438,2.1308897071838384
Foley-Dowsett,Foley & Dowsett 2019,ODP 1073,Uk'37 SST,39.23,-72.28,9.94,1.0,4.507546683780666,6.153056968170802,1.9485486484336814,5.262442226069121,3.7722877329775564,1.6012528049066321,3.4535030027448754
