reference,site,Latitude,Longitude,Proxy,Anom,source_table,compilation
Hoffman et al. 2017,ODP662,-1.38,-11.74,Alkenones,1.0,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,GeoB1105,-1.67,-12.43,Alkenones,1.9,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,GeoB1105,-1.67,-12.43,Mg/Ca,-0.4,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,GeoB1112,-5.77,-10.74,Forams,0.0,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,GeoB1112,-5.77,-10.74,Mg/Ca,0.4,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,GeoB1711-4,-23.31,12.38,Alkenones,3.2,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,GeoB1710-3,-23.43,11.7,Alkenones,3.0,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,MD96-2080,-36.32,19.47,Mg/Ca,6.2,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,V22-174,-10.07,-12.82,Coccolithophore,-0.7,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,RC13-228,-22.33,11.2,Forams,-4.9,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,RC13-228,-22.33,11.2,Coccolithophore,0.9,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,RC13-228,-22.33,11.2,Radiolaria,2.6,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,RC13-229,-25.5,11.3,Forams,-0.3,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,RC13-229,-25.5,11.3,Radiolaria,2.4,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,RC11-86,-35.78,18.45,Forams,-0.5,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,RC11-86,-35.78,18.45,Coccolithophore,3.7,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,RC12-294,-37.27,-10.1,Forams,1.8,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,RC12-294,-37.27,-10.1,Coccolithophore,2.6,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,GeoB10038-4,-5.94,103.25,Mg/Ca,-0.5,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,GeoB10038-4,-5.94,103.25,Alkenones,-0.9,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,MD01-2378,-13.08,121.79,Mg/Ca,0.7,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,V34-88,16.52,59.53,Forams,-0.7,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,RC12-339,9.13,90.03,Forams,-1.2,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,V28-345,-17.67,117.95,Forams,-0.2,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,ODP1018,36.99,-123.27,Alkenones,2.1,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,MD01-2421,36.02,141.78,Alkenones,3.5,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,ODP893,34.28,-120.03,Alkenones,3.4,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,ODP1014A,32.8,-118.9,Alkenones,3.0,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,ODP1012,32.28,-118.38,Alkenones,3.2,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,LAPAZ21,22.98,-109.47,Alkenones,2.5,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,ODP1145,19.53,117.63,Mg/Ca,-1.5,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,ODP1146,19.45,116.27,Alkenones,0.3,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,MD97-2151,8.73,109.87,Alkenones,0.5,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,GIK17961-2,8.5,112.33,Alkenones,0.7,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,W8402A,0.95,-138.95,Alkenones,1.2,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,TR163-22,0.5,-92.4,Mg/Ca,-1.4,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,ODP846,-3.08,-90.82,Alkenones,0.6,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,V19-29,-3.57,-83.22,Forams,-1.2,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,MD06-3018,-23.0,166.13,Mg/Ca,3.5,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,V28-238,1.02,160.48,Forams,-0.4,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,Y71-6-12,-16.45,-77.57,Radiolaria,1.1,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,MD01-2444,37.57,-10.13,Alkenones,2.5,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,MD01-2444,37.57,-10.13,Mg/Ca,4.0,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,MD02-2575,29.0,-87.11,Mg/Ca,3.2,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,M35027-1,17.64,-67.17,Forams,-1.6,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,MD03-2707,2.5,9.39,Mg/Ca,-0.8,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,GIK15637-1,27.0,-18.98,Forams,0.0,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,M12392-1,25.16,-16.85,Forams,-3.2,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,TR126-29,21.33,-93.95,Forams,-1.2,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,TR126-23,20.48,-95.62,Forams,-1.0,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,V22-196,13.83,-18.97,Forams,0.1,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,V28-127,11.65,-80.13,Forams,-0.2,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Hoffman et al. 2017,V25-59,1.37,-33.48,Forams,-0.9,mat_LowLatitudes40S-40N_CP-2019-174-TabS3.csv,Hoffman
Capron et al. 2017,NEEM,77.49,-51.2,Water isotopes,7.3,mat_NHOceansEuropeGreenland40-90N_CP-2019-174-TabS2.csv,Capron
Capron et al. 2017,SU90-08_Alk,43.35,-30.41,Alkenones,3.2,mat_NHOceansEuropeGreenland40-90N_CP-2019-174-TabS2.csv,Capron
Hoffman et al. 2017,M23323,67.77,5.92,Alkenones,-3.5,mat_NHOceansEuropeGreenland40-90N_CP-2019-174-TabS2.csv,Hoffman
Hoffman et al. 2017,V28-14,64.78,-29.57,Forams,2.3,mat_NHOceansEuropeGreenland40-90N_CP-2019-174-TabS2.csv,Hoffman
Hoffman et al. 2017,V27-20,54.0,-46.2,Forams,3.6,mat_NHOceansEuropeGreenland40-90N_CP-2019-174-TabS2.csv,Hoffman
Hoffman et al. 2017,M23414-9,53.53,-20.29,Forams,0.2,mat_NHOceansEuropeGreenland40-90N_CP-2019-174-TabS2.csv,Hoffman
Hoffman et al. 2017,V23-82,52.58,-21.93,Forams,-2.5,mat_NHOceansEuropeGreenland40-90N_CP-2019-174-TabS2.csv,Hoffman
Hoffman et al. 2017,K708-1,50.0,-23.74,Forams,0.5,mat_NHOceansEuropeGreenland40-90N_CP-2019-174-TabS2.csv,Hoffman
Hoffman et al. 2017,V29-179,44.0,-23.51,Forams,0.1,mat_NHOceansEuropeGreenland40-90N_CP-2019-174-TabS2.csv,Hoffman
Hoffman et al. 2017,Y7211-1,43.25,-126.38,Radiolaria,-3.0,mat_NHOceansEuropeGreenland40-90N_CP-2019-174-TabS2.csv,Hoffman
Hoffman et al. 2017,D-117,42.1,-52.75,Forams,1.4,mat_NHOceansEuropeGreenland40-90N_CP-2019-174-TabS2.csv,Hoffman
Hoffman et al. 2017,V30-97,41.0,-32.93,Forams,-0.9,mat_NHOceansEuropeGreenland40-90N_CP-2019-174-TabS2.csv,Hoffman
Hoffman et al. 2017,ODP1020,41.0,-126.43,Alkenones,1.4,mat_NHOceansEuropeGreenland40-90N_CP-2019-174-TabS2.csv,Hoffman
Hoffman et al. 2017,MD95-2040,40.58,-9.87,Alkenones,0.0,mat_NHOceansEuropeGreenland40-90N_CP-2019-174-TabS2.csv,Hoffman
Capron et al. 2017,EDML,-75.0,0.0,Water isotopes,0.9,mat_SHOceansAntarctica40-90S_CP-2019-174-TabS4.csv,Capron
Capron et al. 2017,EDC,-75.1,123.35,Water isotopes,2.9,mat_SHOceansAntarctica40-90S_CP-2019-174-TabS4.csv,Capron
Capron et al. 2017,Dome F,-77.32,39.7,Water isotopes,3.3,mat_SHOceansAntarctica40-90S_CP-2019-174-TabS4.csv,Capron
Capron et al. 2017,Vostok,-78.47,106.87,Water isotopes,1.9,mat_SHOceansAntarctica40-90S_CP-2019-174-TabS4.csv,Capron
Capron et al. 2017,MD97-2121_B,-40.22,177.59,Alkenones,5.1,mat_SHOceansAntarctica40-90S_CP-2019-174-TabS4.csv,Capron
Hoffman et al. 2017,MD97-2121,-40.38,177.98,Alkenones,7.0,mat_SHOceansAntarctica40-90S_CP-2019-174-TabS4.csv,Hoffman
Hoffman et al. 2017,RC15-61,-40.62,-77.2,Radiolaria,-3.7,mat_SHOceansAntarctica40-90S_CP-2019-174-TabS4.csv,Hoffman
Hoffman et al. 2017,ODP1089,-40.93,9.9,Alkenones,11.5,mat_SHOceansAntarctica40-90S_CP-2019-174-TabS4.csv,Hoffman
