compilation,reference,site,Proxy,Latitude,Longitude,Anom,source_table,weight
Bartlein,Bartlein et al. 2011,,pollen MAT,29.0,-81.0,2.539,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,45.0,-73.0,0.5239,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,45.0,-79.0,0.0033,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,43.0,-89.0,-0.0183,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,43.0,-71.0,-0.408,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,45.0,-77.0,0.0348,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,-85.0,0.3112,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,59.0,-73.0,-3.364,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,45.0,-91.0,0.5803,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,55.0,-61.0,-7.409,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,-71.0,2.1076,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,45.0,-71.0,1.0954,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,-75.0,0.9715,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,-95.0,0.3464,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,-73.0,1.9152,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,45.0,-93.0,-0.3771,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,57.0,-77.0,-0.35,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,43.0,-69.0,-0.95,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,55.0,-105.0,-0.376,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,41.0,-85.0,-0.432,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,51.0,-99.0,1.238,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,41.0,-83.0,-0.213,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,45.0,-75.0,1.1287,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,45.0,-85.0,-0.65,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,45.0,-67.0,-0.8625,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,41.0,-75.0,0.8637,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,73.0,-95.0,0.759,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,-93.0,0.6536,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,-81.0,1.0244,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,57.0,-75.0,-0.006,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,45.0,-87.0,0.247,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,43.0,-85.0,0.724,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,43.0,-79.0,-0.438,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,49.0,-65.0,0.2037,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,45.0,-81.0,0.185,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,-89.0,1.1765,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,49.0,-99.0,-1.349,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,45.0,-65.0,8.906,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,53.0,-59.0,2.4467,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,43.0,-81.0,0.0103,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,-87.0,1.1125,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,-69.0,1.2745,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,45.0,-69.0,-0.1193,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,49.0,-89.0,0.9197,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,49.0,-91.0,1.8317,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,-63.0,0.9345,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,43.0,-75.0,0.7005,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,49.0,-81.0,1.51,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,43.0,-73.0,0.5202,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,-97.0,-0.6875,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,-99.0,-1.415,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,45.0,-63.0,-1.464,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,49.0,-79.0,2.426,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,45.0,-97.0,-0.9085,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,53.0,-99.0,0.927,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,51.0,-95.0,0.023,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,41.0,-81.0,-0.5905,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,41.0,-73.0,0.346,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,49.0,-71.0,1.793,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,-111.0,-0.331,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,41.0,-87.0,-0.0643,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,-3.0,29.0,-2.0548,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,59.0,27.0,1.5177,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,45.0,-111.0,-0.0873,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,59.0,25.0,1.1267,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,-79.0,0.1577,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,49.0,-93.0,1.0725,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,45.0,7.0,2.3223,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,45.0,-123.0,-0.376,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,57.0,-65.0,-3.5973,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,-61.0,0.063,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,27.0,-81.0,-1.128,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,41.0,-71.0,-1.0875,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,49.0,-73.0,2.13,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,-65.0,3.533,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,49.0,-101.0,-0.241,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,61.0,25.0,1.4124,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,49.0,15.0,-0.1392,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,51.0,25.0,-0.0865,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,57.0,-63.0,-1.3045,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,51.0,-121.0,2.194,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,9.0,2.4689,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,1.0,35.0,6.1872,Bartlein_mat.csv,1.0
