compilation,reference,site,Proxy,Latitude,Longitude,Anom,source_table
Foley-Dowsett,Foley & Dowsett 2019,Monte dei Corvi PP1,Uk'37 SST,43.35,13.34,8.57,FoleyDowsett2019_cs_mp_sst_data_30k_plus_NOAA.csv
Foley-Dowsett,Foley & Dowsett 2019,DSDP 593,Uk'37 SST,-40.51,167.67,0.51,FoleyDowsett2019_cs_mp_sst_data_30k_plus_NOAA.csv
Foley-Dowsett,Foley & Dowsett 2019,DSDP 594,Uk'37 SST,-45.52,174.95,1.24,FoleyDowsett2019_cs_mp_sst_data_30k_plus_NOAA.csv
Foley-Dowsett,Foley & Dowsett 2019,DSDP 607,Uk'37 SST,41.0,-32.97,3.44,FoleyDowsett2019_cs_mp_sst_data_30k_plus_NOAA.csv
Foley-Dowsett,Foley & Dowsett 2019,DSDP 609,Uk'37 SST,49.88,-24.23,5.15,FoleyDowsett2019_cs_mp_sst_data_30k_plus_NOAA.csv
Foley-Dowsett,Foley & Dowsett 2019,ODP 625,Uk'37 SST,28.83,-87.16,2.3,FoleyDowsett2019_cs_mp_sst_data_30k_plus_NOAA.csv
Foley-Dowsett,Foley & Dowsett 2019,ODP 642,Uk'37 SST,67.23,2.93,7.02,FoleyDowsett2019_cs_mp_sst_data_30k_plus_NOAA.csv
Foley-Dowsett,Foley & Dowsett 2019,ODP 662,Uk'37 SST,-1.39,-11.74,2.09,FoleyDowsett2019_cs_mp_sst_data_30k_plus_NOAA.csv
Foley-Dowsett,Foley & Dowsett 2019,ODP 677,Uk'37 SST,1.2,-84.73,2.28,FoleyDowsett2019_cs_mp_sst_data_30k_plus_NOAA.csv
Foley-Dowsett,Foley & Dowsett 2019,ODP 722,Uk'37 SST,16.62,59.8,1.8,FoleyDowsett2019_cs_mp_sst_data_30k_plus_NOAA.csv
Foley-Dowsett,Foley & Dowsett 2019,ODP 846,Uk'37 SST,-3.1,-90.82,2.52,FoleyDowsett2019_cs_mp_sst_data_30k_plus_NOAA.csv
Foley-Dowsett,Foley & Dowsett 2019,ODP 882,Uk'37 SST,50.36,167.6,3.86,FoleyDowsett2019_cs_mp_sst_data_30k_plus_NOAA.csv
Foley-Dowsett,Foley & Dowsett 2019,ODP 883,Uk'37 SST,51.2,167.77,3.29,FoleyDowsett2019_cs_mp_sst_data_30k_plus_NOAA.csv
Foley-Dowsett,Foley & Dowsett 2019,ODP 907,Uk'37 SST,69.25,12.7,-0.23,FoleyDowsett2019_cs_mp_sst_data_30k_plus_NOAA.csv
Foley-Dowsett,Foley & Dowsett 2019,ODP 909,Uk'37 SST,78.59,3.07,14.6,FoleyDowsett2019_cs_mp_sst_data_30k_plus_NOAA.csv
Foley-Dowsett,Foley & Dowsett 2019,*ODP 925,Uk'37 SST,4.2,-43.49,1.39,FoleyDowsett2019_cs_mp_sst_data_30k_plus_NOAA.csv
Foley-Dowsett,Foley & Dowsett 2019,ODP 958,Uk'37 SST,24.0,-20.0,3.49,FoleyDowsett2019_cs_mp_sst_data_30k_plus_NOAA.csv
Foley-Dowsett,Foley & Dowsett 2019,ODP 978,Uk'37 SST,36.23,-2.05,9.1,FoleyDowsett2019_cs_mp_sst_data_30k_plus_NOAA.csv
Foley-Dowsett,Foley & Dowsett 2019,ODP 982,Uk'37 SST,57.52,-15.87,6.53,FoleyDowsett2019_cs_mp_sst_data_30k_plus_NOAA.csv
Foley-Dowsett,Foley & Dowsett 2019,ODP 999,Uk'37 SST,12.75,-78.73,0.41,FoleyDowsett2019_cs_mp_sst_data_30k_plus_NOAA.csv
