model,compilation,n_points,rmse,bias,model_mean,recon_mean
AWI-ESM-1-1-LR,Annan,88,4.414025705241618,4.216628251777703,-9.861668367271852,-14.078296619049553
AWI-ESM-1-1-LR,Bartlein,3,7.491179935916307,7.221379968317994,-4.145286698348674,-11.366666666666667
AWI-ESM-1-1-LR,Cleator,36,8.219194506042664,8.198502843651069,-4.8694749047986745,-13.067977748449742
AWI-ESM-1-1-LR,Osman,77,9.737900840358472,9.279375730785539,-10.196623310152079,-19.475999040937612
AWI-ESM-1-1-LR,P2F,4,2.0794404768717465,-0.7574186896913345,-3.1834393437641886,-2.426020654072854
CCSM4,Annan,88,1.8992396896468755,1.5126650327975641,-12.565631586251989,-14.078296619049553
CCSM4,Bartlein,3,6.211091467228005,5.881464442964666,-5.485202223702001,-11.366666666666667
CCSM4,Cleator,36,6.211596943057483,6.191028655292505,-6.876949093157239,-13.067977748449742
CCSM4,Osman,77,6.928960540721396,6.4337381804949105,-13.042260860442711,-19.475999040937612
CCSM4,P2F,4,2.38758130828371,-1.664704160765174,-4.090724814838028,-2.426020654072854
CESM2-FV2,Annan,88,1.7388419394753512,1.454116146934875,-12.624180472114679,-14.078296619049553
CESM2-FV2,Bartlein,3,5.2198188701078925,4.732570665853988,-6.634096000812679,-11.366666666666667
CESM2-FV2,Cleator,36,5.282362672927983,5.235969966517625,-7.832007781932119,-13.067977748449742
CESM2-FV2,Osman,77,7.019662987270426,6.354913414687882,-13.121085626249734,-19.475999040937612
CESM2-FV2,P2F,4,3.8419782796919875,-3.428412232513865,-5.854432886586718,-2.426020654072854
CESM2-WACCM-FV2,Annan,88,0.9536721754129059,0.29417305998192295,-13.784123559067632,-14.078296619049553
CESM2-WACCM-FV2,Bartlein,3,4.763233333098557,4.225261119559951,-7.141405547106717,-11.366666666666667
CESM2-WACCM-FV2,Cleator,36,4.621634126634593,4.540688366487991,-8.527289381961753,-13.067977748449742
CESM2-WACCM-FV2,Osman,77,5.763081498833273,5.1103398118598875,-14.36565922907773,-19.475999040937612
CESM2-WACCM-FV2,P2F,4,4.428729607738953,-4.065206692976329,-6.491227347049182,-2.426020654072854
CNRM-CM5,Annan,88,5.07858410281323,4.76232485066035,-9.315971768389206,-14.078296619049553
CNRM-CM5,Bartlein,3,8.664262072355264,8.452323571574242,-2.9143430950924247,-11.366666666666667
CNRM-CM5,Cleator,36,9.333718496809533,9.321180614426696,-3.7467971340230473,-13.067977748449742
CNRM-CM5,Osman,77,10.015610396164371,9.67795497198405,-9.798044068953569,-19.475999040937612
CNRM-CM5,P2F,4,2.5971045867270943,2.2474911287386696,-0.1785295253341842,-2.426020654072854
COSMOS-ASO,Annan,88,1.7173700016541302,1.4569727666856664,-12.621323852363888,-14.078296619049553
COSMOS-ASO,Bartlein,3,5.497024425867525,5.133760144215867,-6.2329065224508,-11.366666666666667
COSMOS-ASO,Cleator,36,5.565832121065561,5.541921640719442,-7.5260561077303,-13.067977748449742
COSMOS-ASO,Osman,77,7.101221953835806,6.396236318196562,-13.079762722741055,-19.475999040937612
COSMOS-ASO,P2F,4,4.787539583882661,-4.046507235214328,-6.472527889287182,-2.426020654072854
FGOALS-g2,Annan,88,3.222235912918368,0.1402977017694163,-13.937998917280137,-14.078296619049553
FGOALS-g2,Bartlein,3,4.422345630818267,3.903196161300372,-7.4634705053662955,-11.366666666666667
FGOALS-g2,Cleator,36,4.935086055848094,4.791293687579716,-8.276684060870027,-13.067977748449742
FGOALS-g2,Osman,77,6.504580834217242,4.578128994596427,-14.89787004634119,-19.475999040937612
FGOALS-g2,P2F,4,4.843458446604822,-4.585721639532972,-7.011742293605825,-2.426020654072854
GISS-E2-R,Annan,77,2.27194217191043,-0.44855983668819094,-14.778529191610328,-14.078296619049553
GISS-E2-R,Bartlein,3,4.646555536883959,4.3233270009358735,-7.043339665730794,-11.366666666666667
GISS-E2-R,Cleator,33,4.179025676135313,4.02671277399897,-9.138845811274157,-13.067977748449742
GISS-E2-R,Osman,66,5.463115138153075,4.359159600646069,-15.549875111236869,-19.475999040937612
GISS-E2-R,P2F,4,3.0462000770309827,-2.6567840481304152,-5.082804702203269,-2.426020654072854
INM-CM4-8,Annan,88,1.9497172307112192,-1.056122782612062,-15.134419401661615,-14.078296619049553
INM-CM4-8,Bartlein,3,3.7702063260206296,3.1949099355273787,-8.171756731139288,-11.366666666666667
INM-CM4-8,Cleator,36,3.677608441488065,3.642722826203762,-9.425254922245982,-13.067977748449742
INM-CM4-8,Osman,77,5.013139871818506,4.059735345716482,-15.416263695221135,-19.475999040937612
INM-CM4-8,P2F,4,5.279016611440409,-4.846513723450409,-7.272534377523263,-2.426020654072854
IPSL-CM5A-LR,Annan,88,1.5270729713114095,1.1798575594358647,-12.898439059613688,-14.078296619049553
IPSL-CM5A-LR,Bartlein,3,4.52481998743698,4.055008474137768,-7.311658192528899,-11.366666666666667
IPSL-CM5A-LR,Cleator,36,4.884981052964173,4.868358911909931,-8.199618836539813,-13.067977748449742
IPSL-CM5A-LR,Osman,77,6.9944807777776665,6.179921716346309,-13.296077324591309,-19.475999040937612
IPSL-CM5A-LR,P2F,4,2.150213358671962,-1.5691265836506054,-3.99514723772346,-2.426020654072854
MIROC-ES2L,Annan,88,1.503254314647385,-0.3314282313390995,-14.409724850388653,-14.078296619049553
MIROC-ES2L,Bartlein,3,5.844427860551248,5.45337388968522,-5.913292776981447,-11.366666666666667
MIROC-ES2L,Cleator,36,5.183193653583153,4.947893971584563,-8.120083776865181,-13.067977748449742
MIROC-ES2L,Osman,77,4.916420988362991,4.278606712798009,-15.19739232813961,-19.475999040937612
MIROC-ES2L,P2F,4,1.9611126956501752,-1.3622748263250022,-3.7882954803978564,-2.426020654072854
MIROC-ESM,Annan,88,3.8820157478495525,-2.926852011058492,-17.005148630108046,-14.078296619049553
MIROC-ESM,Bartlein,3,5.220893909605731,4.804630494752314,-6.562036171914353,-11.366666666666667
MIROC-ESM,Cleator,36,3.7807849527749324,3.3046663461142134,-9.76331140233553,-13.067977748449742
MIROC-ESM,Osman,77,3.400893527095832,1.5150796730817917,-17.960919367855823,-19.475999040937612
MIROC-ESM,P2F,4,5.203116255215671,-4.766732276119278,-7.192752930192132,-2.426020654072854
MPI-ESM-P,Annan,88,1.4930209358389634,1.0181143479865848,-13.060182271062967,-14.078296619049553
MPI-ESM-P,Bartlein,3,5.8402443292983435,5.45275727760153,-5.913909389065137,-11.366666666666667
MPI-ESM-P,Cleator,36,5.795773760606727,5.755820091070596,-7.312157657379146,-13.067977748449742
MPI-ESM-P,Osman,77,6.411482199713709,5.88260712966989,-13.593391911267727,-19.475999040937612
MPI-ESM-P,P2F,4,1.4277771260594045,-0.2406320793198951,-2.666652733392749,-2.426020654072854
MPI-ESM1-2-LR,Annan,88,3.3898302846645048,3.06600920681038,-11.012287412239173,-14.078296619049553
MPI-ESM1-2-LR,Bartlein,3,6.580706577741391,6.23764835063223,-5.129018316034438,-11.366666666666667
MPI-ESM1-2-LR,Cleator,36,6.930654311813892,6.901544293575242,-6.166433454874501,-13.067977748449742
MPI-ESM1-2-LR,Osman,77,8.66252539773866,8.070598644892472,-11.405400396045144,-19.475999040937612
MPI-ESM1-2-LR,P2F,4,1.5799428423647528,0.11999661857497673,-2.306024035497877,-2.426020654072854
MRI-CGCM3,Annan,88,4.005516359679071,3.8478399872733395,-10.230456631776214,-14.078296619049553
MRI-CGCM3,Bartlein,3,7.038892339470039,6.752865023848909,-4.613801642817758,-11.366666666666667
MRI-CGCM3,Cleator,36,7.569509391342358,7.548643376558161,-5.519334371891581,-13.067977748449742
MRI-CGCM3,Osman,77,9.411824030684665,8.812610614016624,-10.663388426920992,-19.475999040937612
MRI-CGCM3,P2F,4,1.562215351690331,-0.009925329666988447,-2.4359459837398423,-2.426020654072854
UofT-CCSM-4,Annan,88,1.7984603911185437,0.7107471248985409,-13.367549494151014,-14.078296619049553
UofT-CCSM-4,Bartlein,3,6.675057204972887,5.731253204875524,-5.635413461791143,-11.366666666666667
UofT-CCSM-4,Cleator,36,5.466485135856961,5.2024263582097126,-7.865551390240031,-13.067977748449742
UofT-CCSM-4,Osman,77,6.1804522189220386,5.425127017907524,-14.050872023030093,-19.475999040937612
UofT-CCSM-4,P2F,4,2.3225821699612315,-1.5322444561989674,-3.9582651102718214,-2.426020654072854
