model,compilation,n_points,rmse,bias
ACCESS-ESM1-5,Bartlein,87,1.5637207096304666,-0.2443494864770736
ACCESS-ESM1-5,Erb,40,0.2182255893027991,0.15542813065581687
ACCESS-ESM1-5,Temp12k,41,1.6911497754716944,0.252785254856946
AWI-ESM-1-1-LR,Bartlein,87,2.149729588636071,-1.5277752991506413
AWI-ESM-1-1-LR,Erb,40,1.2104842462395913,-1.189230958410321
AWI-ESM-1-1-LR,Temp12k,41,1.88485717276123,-1.1030792405204957
BCC-CSM1-1,Bartlein,87,1.6550427138511286,-0.722655035588114
BCC-CSM1-1,Erb,40,0.3247852618138138,-0.2795292475397128
BCC-CSM1-1,Temp12k,41,1.5955109733400772,-0.29039299012914455
CCSM4,Bartlein,87,1.886949743091112,-1.094052941599822
CCSM4,Erb,40,0.7872031259798671,-0.7246980259414127
CCSM4,Temp12k,41,1.63714397363819,-0.6488725894777697
CESM2,Bartlein,87,1.7480814024532856,-0.8523255105141175
CESM2,Erb,40,0.5216791875733643,-0.45788599425225807
CESM2,Temp12k,41,1.5628332056711884,-0.42172706666561893
CNRM-CM5,Bartlein,87,1.6164429936495193,-0.38448282302700537
CNRM-CM5,Erb,40,0.12042170340330138,0.0027401676724499056
CNRM-CM5,Temp12k,41,1.5692688126227583,0.03283345924731522
CSIRO-Mk3-6-0,Bartlein,87,1.5154031248372755,-0.42986783133605405
CSIRO-Mk3-6-0,Erb,40,0.2901201233645102,-0.004425586216618407
CSIRO-Mk3-6-0,Temp12k,41,1.473653384869146,-0.050800871156728766
EC-Earth3,Bartlein,87,1.6862140132886512,-0.7700721355919503
EC-Earth3,Erb,40,0.3548529910444196,-0.3182062826011366
EC-Earth3,Temp12k,41,1.5705868933228537,-0.3515042425466237
EC-Earth3-LR,Bartlein,87,1.5555980108703715,-0.2484303731900248
EC-Earth3-LR,Erb,40,0.4362613007912812,0.27058279469041835
EC-Earth3-LR,Temp12k,41,1.6582650025350358,0.2511149781741295
