model,compilation,n_points,rmse,bias
CESM2,Foley-Dowsett,3,1.4922928806462097,0.543397441335607
CESM2,Tierney,315,0.6274036247441395,0.006177001101484565
EC-Earth3-LR,Foley-Dowsett,3,3.9374552470579487,3.5395603562854583
EC-Earth3-LR,Tierney,315,3.250473832957689,2.870033735348224
GISS-E2-1-G,Foley-Dowsett,3,2.85709623485579,-2.686613436253865
GISS-E2-1-G,Tierney,294,3.5842228048719997,-3.482946907739103
HadGEM3-GC31-LL,Foley-Dowsett,3,1.3979778631884074,-1.0312022835981585
HadGEM3-GC31-LL,Tierney,294,1.107340624061315,0.8723272575118219
IPSL-CM6A-LR,Foley-Dowsett,3,1.5217838336763716,-1.0344117281872502
IPSL-CM6A-LR,Tierney,315,1.3124077832872632,-1.1161789978449106
NorESM1-F,Foley-Dowsett,3,2.5764427284857407,-2.353714635897035
NorESM1-F,Tierney,315,2.84305662609891,-2.7416034416127633
UofT-CCSM-4,Foley-Dowsett,3,3.0863524983883104,2.793390772275012
UofT-CCSM-4,Tierney,315,1.8043305844683604,0.6462993114530738
