model,compilation,n_points,rmse,bias,model_mean,recon_mean
AWI-ESM-1-1-LR,Annan,140,2.0855076416241465,1.9897587096862914,-3.512437069799881,-5.502195779486172
AWI-ESM-1-1-LR,Bartlein,13,3.504437813509406,2.1294704334719468,-3.8282218742203606,-5.957692307692308
AWI-ESM-1-1-LR,Cleator,97,6.570034259918525,6.442298302218606,-3.339799232124155,-9.78209753434276
AWI-ESM-1-1-LR,Osman,128,3.3253801680946404,3.215993050977066,-3.6015205253720244,-6.817513576349089
AWI-ESM-1-1-LR,P2F,3,1.9685232211059551,0.8460328605456272,-2.717684486364114,-3.563717346909742
CCSM4,Annan,140,1.068375313219982,0.9699353630979733,-4.532260416388199,-5.502195779486172
CCSM4,Bartlein,13,2.901683704305049,1.1232258509684216,-4.834466456723886,-5.957692307692308
CCSM4,Cleator,97,5.401107693483866,5.24052495503391,-4.541572579308849,-9.78209753434276
CCSM4,Osman,128,2.1992557463225793,2.134329979982117,-4.683183596366973,-6.817513576349089
CCSM4,P2F,3,1.8959140752870247,0.15932556903135855,-3.404391777878383,-3.563717346909742
CESM2-FV2,Annan,140,0.9928288248439185,0.8155681306838864,-4.686627648802285,-5.502195779486172
CESM2-FV2,Bartlein,13,2.6479884818948976,0.9730236509926276,-4.9846686566996805,-5.957692307692308
CESM2-FV2,Cleator,97,5.050978968903709,4.856361676488567,-4.925735857854192,-9.78209753434276
CESM2-FV2,Osman,128,2.0635664468371724,1.9902043002470513,-4.827309276102039,-6.817513576349089
CESM2-FV2,P2F,3,2.06385285704887,-0.9315999009483033,-4.495317247858044,-3.563717346909742
CESM2-WACCM-FV2,Annan,140,0.6924169067837214,0.43484828723748364,-5.067347492248689,-5.502195779486172
CESM2-WACCM-FV2,Bartlein,13,2.5404549082843038,0.556510644896415,-5.401181662795892,-5.957692307692308
CESM2-WACCM-FV2,Cleator,97,4.7020358766224915,4.502907992792441,-5.27918954155032,-9.78209753434276
CESM2-WACCM-FV2,Osman,128,1.685315394467045,1.5996128745532738,-5.217900701795815,-6.817513576349089
CESM2-WACCM-FV2,P2F,3,2.211348883235517,-1.2179127009632935,-4.781630047873035,-3.563717346909742
CNRM-CM5,Annan,140,3.6867924934518794,3.6460303036531423,-1.8561654758330297,-5.502195779486172
CNRM-CM5,Bartlein,13,4.655830396886267,3.7943774513426267,-2.163314856349681,-5.957692307692308
CNRM-CM5,Cleator,97,7.869991380609629,7.742355830735199,-2.039741703607562,-9.78209753434276
CNRM-CM5,Osman,128,4.880344328480147,4.846693217781884,-1.9708203585672062,-6.817513576349089
CNRM-CM5,P2F,3,3.2190211879475523,2.339679634684298,-1.224037712225444,-3.563717346909742
COSMOS-ASO,Annan,140,0.7192802380379849,-0.21120822389502078,-5.713404003381194,-5.502195779486172
COSMOS-ASO,Bartlein,13,2.602983863904996,0.05847436517527411,-5.899217942517033,-5.957692307692308
COSMOS-ASO,Cleator,97,4.440414409327874,4.180065423143889,-5.602032111198872,-9.78209753434276
COSMOS-ASO,Osman,128,1.3183814413534003,1.0513420937564526,-5.766171482592638,-6.817513576349089
COSMOS-ASO,P2F,3,2.2330691736073125,-1.1663924499983116,-4.730109796908053,-3.563717346909742
FGOALS-g2,Annan,140,1.3639928913406911,1.0142605752064877,-4.487935204279684,-5.502195779486172
FGOALS-g2,Bartlein,13,2.9217092596728724,0.5840861074314538,-5.373606200260853,-5.957692307692308
FGOALS-g2,Cleator,97,4.672940519352915,4.414772145479595,-5.367325388863166,-9.78209753434276
FGOALS-g2,Osman,128,2.3741016302335285,2.209412551194595,-4.608101025154496,-6.817513576349089
FGOALS-g2,P2F,3,1.8157565265381417,-0.8956191406862212,-4.459336487595963,-3.563717346909742
GISS-E2-R,Annan,133,0.8847761468572299,0.6967031216225639,-4.798586217671772,-5.502195779486172
GISS-E2-R,Bartlein,13,2.89149444331063,1.1335729268880992,-4.824119380804208,-5.957692307692308
GISS-E2-R,Cleator,93,4.909994604392368,4.709609633323435,-5.059717074538114,-9.78209753434276
GISS-E2-R,Osman,120,1.8670195045519982,1.7562422467720502,-5.0500128629937455,-6.817513576349089
GISS-E2-R,P2F,3,1.9521535611943155,-0.8942410828337043,-4.457958429743446,-3.563717346909742
INM-CM4-8,Annan,140,0.8154035298085952,-0.7409975424433884,-6.243193321929561,-5.502195779486172
INM-CM4-8,Bartlein,13,2.669915060411008,-0.5671308933160247,-6.524823201008331,-5.957692307692308
INM-CM4-8,Cleator,97,3.5882727736123825,3.3932603169318383,-6.388837217410921,-9.78209753434276
INM-CM4-8,Osman,128,0.6787064090777227,0.37104881038793935,-6.446464765961152,-6.817513576349089
INM-CM4-8,P2F,3,2.6739360492602424,-2.0744249826877286,-5.63814232959747,-3.563717346909742
IPSL-CM5A-LR,Annan,140,0.46130359001028554,0.077619951808324,-5.424575827677847,-5.502195779486172
IPSL-CM5A-LR,Bartlein,13,2.7470144074297305,-0.06093777549637585,-6.018630083188683,-5.957692307692308
IPSL-CM5A-LR,Cleator,97,4.37736027282129,4.254511716175479,-5.527585818167281,-9.78209753434276
IPSL-CM5A-LR,Osman,128,1.3817448127499419,1.2197388974644752,-5.5977746788846146,-6.817513576349089
IPSL-CM5A-LR,P2F,3,1.8427113456755375,-1.0765796682442623,-4.640297015154004,-3.563717346909742
MIROC-ES2L,Annan,140,1.1756351335143007,0.9692019614348534,-4.532993818051319,-5.502195779486172
MIROC-ES2L,Bartlein,13,2.9419888885596754,1.553255658896016,-4.404436648796292,-5.957692307692308
MIROC-ES2L,Cleator,97,5.57702221714382,5.383007772977961,-4.3990897613648,-9.78209753434276
MIROC-ES2L,Osman,128,2.29053738780732,2.1291976367088767,-4.688315939640213,-6.817513576349089
MIROC-ES2L,P2F,3,1.6455398415865679,-0.23075839247189225,-3.794475739381634,-3.563717346909742
MIROC-ESM,Annan,140,0.6254703838952168,0.12159594640764297,-5.380599833078529,-5.502195779486172
MIROC-ESM,Bartlein,13,2.6119817080083614,0.41348903757437677,-5.544203270117931,-5.957692307692308
MIROC-ESM,Cleator,97,4.881080819186451,4.728573496743051,-5.0535240375997095,-9.78209753434276
MIROC-ESM,Osman,128,1.4992973198763897,1.2401469664038298,-5.577366609945259,-6.817513576349089
