model,compilation,n_points,rmse,bias,model_mean,recon_mean
ACCESS-ESM1-5,Hoffman,1,1.3037169873046872,1.3037169873046872,1.3037169873046872,0.0
AWI-ESM-1-1-LR,Hoffman,1,0.4405973034873818,0.4405973034873818,0.4405973034873818,0.0
CESM2,Hoffman,1,0.1076951861385787,-0.1076951861385787,-0.1076951861385787,0.0
CNRM-CM6-1,Hoffman,1,0.5134529395313939,0.5134529395313939,0.5134529395313939,0.0
EC-Earth3-LR,Hoffman,1,0.9322018017580322,0.9322018017580322,0.9322018017580322,0.0
FGOALS-f3-L,Hoffman,1,0.0015716624450678,0.0015716624450678,0.0015716624450678,0.0
FGOALS-g3,Hoffman,1,0.2268206039613521,-0.2268206039613521,-0.2268206039613521,0.0
GISS-E2-1-G,Hoffman,1,0.1799395922851559,0.1799395922851559,0.1799395922851559,0.0
HadGEM3-GC31-LL,Hoffman,1,0.4820576335144038,0.4820576335144038,0.4820576335144038,0.0
INM-CM4-8,Hoffman,1,0.3158273472785963,-0.3158273472785963,-0.3158273472785963,0.0
IPSL-CM6A-LR,Hoffman,1,0.6349902397577066,-0.6349902397577066,-0.6349902397577066,0.0
LOVECLIM,Hoffman,1,0.2615483137398771,0.2615483137398771,0.2615483137398771,0.0
MIROC-ES2L,Hoffman,1,0.0210809130080569,-0.0210809130080569,-0.0210809130080569,0.0
MPI-ESM1-2-LR,Hoffman,1,0.2306316646969701,-0.2306316646969701,-0.2306316646969701,0.0
NESM3,Hoffman,1,0.6037042054018704,-0.6037042054018704,-0.6037042054018704,0.0
NorESM1-F,Hoffman,1,0.0463659085061827,-0.0463659085061827,-0.0463659085061827,0.0
NorESM2-LM,Hoffman,1,0.0367993564478538,0.0367993564478538,0.0367993564478538,0.0
