model,compilation,n_points,rmse,bias,model_mean,recon_mean
ACCESS-ESM1-5,Bartlein,46,2.955593820476005,1.240008963322294,0.29521548506142437,-0.9447934782608697
ACCESS-ESM1-5,Erb,55,0.2557643877046841,0.1310576652953588,0.3476817260697103,0.21662406077435156
ACCESS-ESM1-5,P2F,10,2.0635824473026996,0.5990706959667914,0.27791255975341794,-0.32115813621337336
ACCESS-ESM1-5,Temp12k,17,2.051781339200082,0.15942986175242232,0.20080481510536344,0.041374953352941175
AWI-ESM-1-1-LR,Bartlein,46,2.814115143610825,0.3155814609206029,-0.6292120173402667,-0.9447934782608697
AWI-ESM-1-1-LR,Erb,55,0.9234214531643655,-0.8997096717069845,-0.6830856109326333,0.21662406077435156
AWI-ESM-1-1-LR,P2F,10,1.773984364640766,-0.18365189370720794,-0.5048100299205813,-0.32115813621337336
AWI-ESM-1-1-LR,Temp12k,17,2.0317079784446066,-0.5002211951995165,-0.45884624184657524,0.041374953352941175
BCC-CSM1-1,Bartlein,46,2.8917421650521526,1.04211645322192,0.0973229749610503,-0.9447934782608697
BCC-CSM1-1,Erb,55,0.13912441774287518,-0.09815945570425069,0.11846460507010088,0.21662406077435156
BCC-CSM1-1,P2F,10,1.934624740307532,0.3897021241421869,0.06854398792881351,-0.32115813621337336
BCC-CSM1-1,Temp12k,17,2.0346758957289013,-0.024259953274880227,0.017115000078061007,0.041374953352941175
CCSM4,Bartlein,46,2.8453450642245888,0.9271865726207686,-0.017606905640100784,-0.9447934782608697
CCSM4,Erb,55,0.3065592395189073,-0.2691450974335312,-0.05252103665917963,0.21662406077435156
CCSM4,P2F,10,1.9069108383187812,0.2807976000399369,-0.040360536173436296,-0.32115813621337336
CCSM4,Temp12k,17,1.9935347158198804,-0.14110893372756403,-0.09973398037462289,0.041374953352941175
CESM2,Bartlein,46,2.94577135493676,1.2603070849773388,0.31551360671646916,-0.9447934782608697
CESM2,Erb,55,0.24576770937751988,0.048634350844066296,0.26525841161841784,0.21662406077435156
CESM2,P2F,10,1.9711895442884788,0.4814067937301072,0.1602486575167338,-0.32115813621337336
CESM2,Temp12k,17,1.9690545783755378,0.09258767257445433,0.13396262592739552,0.041374953352941175
CNRM-CM5,Bartlein,46,3.0414846104853477,1.3988802145623922,0.45408673630152235,-0.9447934782608697
CNRM-CM5,Erb,55,0.21187242644222404,0.20072245583493198,0.41734651660928357,0.21662406077435156
CNRM-CM5,P2F,10,2.0002830166059757,0.7436008683757586,0.42244273216238515,-0.32115813621337336
CNRM-CM5,Temp12k,17,2.050442618416848,0.3574437280228157,0.39881868137575677,0.041374953352941175
CSIRO-Mk3-6-0,Bartlein,46,3.0525695278606304,1.4355084545401724,0.49071497627930233,-0.9447934782608697
CSIRO-Mk3-6-0,Erb,55,0.270655416093375,0.1912058256966169,0.40782988647096846,0.21662406077435156
CSIRO-Mk3-6-0,P2F,10,2.08667271099953,0.751522817414263,0.4303646812008896,-0.32115813621337336
CSIRO-Mk3-6-0,Temp12k,17,2.052084970234698,0.36061547447322084,0.4019904278261621,0.041374953352941175
EC-Earth3,Bartlein,46,2.893733691670746,0.9594347103324175,0.014641232071548072,-0.9447934782608697
EC-Earth3,Erb,55,0.237535813895328,-0.1843083300240102,0.03231573075034134,0.21662406077435156
EC-Earth3,P2F,10,1.9700211744367364,0.4825049263350019,0.16134679012162836,-0.32115813621337336
EC-Earth3,Temp12k,17,2.0518538731242346,-0.07785257220731827,-0.03647761885437709,0.041374953352941175
EC-Earth3-LR,Bartlein,46,3.019011254480318,1.324330243730565,0.37953676546969534,-0.9447934782608697
EC-Earth3-LR,Erb,55,0.21864264371356987,0.16371855945495875,0.38034262022931037,0.21662406077435156
EC-Earth3-LR,P2F,10,2.036928172014991,0.7619382003126776,0.44078006409930415,-0.32115813621337336
EC-Earth3-LR,Temp12k,17,2.0824087180622857,0.2714737589772077,0.3128487123301488,0.041374953352941175
FGOALS-f3-L,Bartlein,46,2.8535925774220923,0.8657851871822193,-0.07900829107865043,-0.9447934782608697
FGOALS-f3-L,Erb,50,0.3576444448865423,-0.340004418394665,-0.12319643937986917,0.21662406077435156
FGOALS-f3-L,P2F,10,1.9137437989719328,0.22576898598678047,-0.09538915022659303,-0.32115813621337336
FGOALS-f3-L,Temp12k,17,2.0151822117840354,-0.1768464712523983,-0.13547151789945713,0.041374953352941175
FGOALS-g2,Bartlein,46,2.7794163610540585,0.5836812100297057,-0.3611122682311638,-0.9447934782608697
FGOALS-g2,Erb,55,0.6006515733459583,-0.592789732972247,-0.37616567219789565,0.21662406077435156
FGOALS-g2,P2F,10,1.8792707968475637,-0.0474153463816247,-0.36857348259499806,-0.32115813621337336
FGOALS-g2,Temp12k,17,2.049527392072922,-0.4406472436208984,-0.39927229026795724,0.041374953352941175
FGOALS-g3,Bartlein,46,2.961302336105836,1.3235923676944303,0.37879888943356116,-0.9447934782608697
FGOALS-g3,Erb,55,0.25889426760607803,0.10750960956025779,0.32413367033460944,0.21662406077435156
FGOALS-g3,P2F,10,2.0772269007529895,0.4892827237399338,0.1681245875265604,-0.32115813621337336
FGOALS-g3,Temp12k,17,2.1284623404212732,0.10402249001521388,0.14539744336815502,0.041374953352941175
FGOALS-s2,Bartlein,46,2.94128726109369,1.1071214463018,0.16232796804093014,-0.9447934782608697
FGOALS-s2,Erb,55,0.1943702882434258,-0.12810561956860536,0.08851844120574621,0.21662406077435156
FGOALS-s2,P2F,10,1.9400777725634755,0.47193011659872636,0.150771980385353,-0.32115813621337336
FGOALS-s2,Temp12k,17,1.9784287818485162,0.0814418475033445,0.1228168008562857,0.041374953352941175
GISS-E2-1-G,Bartlein,43,2.7898365480483833,0.6296960551417151,-0.22160161927688954,-0.9447934782608697
GISS-E2-1-G,Erb,50,0.44078980620658237,-0.42846879703502694,-0.21166081802023118,0.21662406077435156
GISS-E2-1-G,P2F,10,1.8944257731585992,0.11386364183242259,-0.20729449438095093,-0.32115813621337336
GISS-E2-1-G,Temp12k,17,2.0550573653342896,-0.3237281960587912,-0.28235324270585,0.041374953352941175
GISS-E2-R,Bartlein,43,2.8498068428940995,0.7819422331699104,-0.06935544124869412,-0.9447934782608697
GISS-E2-R,Erb,50,0.29982828138175754,-0.2688413513265428,-0.05203337231174707,0.21662406077435156
GISS-E2-R,P2F,10,1.934356724934806,0.3057515192547552,-0.015406616958618091,-0.32115813621337336
GISS-E2-R,Temp12k,17,2.0143049169559966,-0.12569196013726802,-0.0843170067843269,0.041374953352941175
HadGEM2-CC,Bartlein,46,3.0544170545116853,1.535887749326402,0.5910942710655321,-0.9447934782608697
HadGEM2-CC,Erb,55,0.43345595763432165,0.3956127517936046,0.6122368125679563,0.21662406077435156
HadGEM2-CC,P2F,10,2.0906682302377173,0.7826332251721142,0.46147508895874073,-0.32115813621337336
HadGEM2-CC,Temp12k,17,2.1074556479464874,0.43941920902331305,0.4807941623762543,0.041374953352941175
HadGEM2-ES,Bartlein,46,3.1722454749565383,1.765105808534484,0.8203123302736144,-0.9447934782608697
HadGEM2-ES,Erb,55,0.6315539517613576,0.5805333754090644,0.7971574361834158,0.21662406077435156
HadGEM2-ES,P2F,10,2.2483253759497144,1.025223523890375,0.7040653876770018,-0.32115813621337336
HadGEM2-ES,Temp12k,17,2.1069775575849174,0.6106837542395929,0.6520587075925341,0.041374953352941175
HadGEM3-GC31-LL,Bartlein,46,2.954828825136902,1.1321143382804981,0.18732086001962847,-0.9447934782608697
HadGEM3-GC31-LL,Erb,50,0.1152726306336165,0.006502375100901016,0.22331035411569683,0.21662406077435156
HadGEM3-GC31-LL,P2F,10,2.0106443156080824,0.5566048247448674,0.23544668853149409,-0.32115813621337336
HadGEM3-GC31-LL,Temp12k,17,2.054437208438322,0.045360288387416396,0.08673524174035763,0.041374953352941175
INM-CM4-8,Bartlein,46,2.832618724309617,0.8375700815449589,-0.10722339671591054,-0.9447934782608697
INM-CM4-8,Erb,55,0.2994809429392608,-0.26785132642387227,-0.05122726564952068,0.21662406077435156
INM-CM4-8,P2F,10,1.937305970733175,0.14468143416538953,-0.17647670204798388,-0.32115813621337336
INM-CM4-8,Temp12k,17,2.0609727812234,-0.2785817980754645,-0.23720684472252335,0.041374953352941175
IPSL-CM5A-LR,Bartlein,46,2.999305241030421,1.278403274901796,0.33360979664092644,-0.9447934782608697
IPSL-CM5A-LR,Erb,55,0.18055338021497927,0.0977774094378282,0.3144014702121797,0.21662406077435156
IPSL-CM5A-LR,P2F,10,1.9868828781470047,0.6397963437611044,0.3186382075477309,-0.32115813621337336
IPSL-CM5A-LR,Temp12k,17,2.0414185789900903,0.2218124535275361,0.2631874068804773,0.041374953352941175
IPSL-CM6A-LR,Bartlein,46,2.823723798959855,0.7537402724747185,-0.19105320578615123,-0.9447934782608697
IPSL-CM6A-LR,Erb,55,0.40307568174971764,-0.3789315673014913,-0.16230750652713968,0.21662406077435156
IPSL-CM6A-LR,P2F,10,1.8993248723282175,0.15695245001935865,-0.16420568619401474,-0.32115813621337336
IPSL-CM6A-LR,Temp12k,17,2.0677866753644936,-0.3197564599749917,-0.2783815066220504,0.041374953352941175
MIROC-ES2L,Bartlein,46,2.827454270942786,0.8477933175400585,-0.09700016072081134,-0.9447934782608697
MIROC-ES2L,Erb,55,0.3640048545726587,-0.31079722058936404,-0.09417315981501247,0.21662406077435156
MIROC-ES2L,P2F,10,1.8908619972780434,0.12842675358859976,-0.19273138262477368,-0.32115813621337336
MIROC-ES2L,Temp12k,17,2.1082021201975354,-0.2528211417042095,-0.21144618835126824,0.041374953352941175
MIROC-ESM,Bartlein,46,2.8562535983925574,0.9795053080947255,0.0347118298338558,-0.9447934782608697
MIROC-ESM,Erb,55,0.2687987055094854,-0.20013064534727493,0.01649341542707664,0.21662406077435156
MIROC-ESM,P2F,10,1.943800092837243,0.29618800028608466,-0.02497013592728877,-0.32115813621337336
MIROC-ESM,Temp12k,17,2.0937178086421633,-0.09359296624702308,-0.05221801289408188,0.041374953352941175
MPI-ESM-P,Bartlein,46,2.92319164316395,1.0336939143397783,0.08890043607890866,-0.9447934782608697
MPI-ESM-P,Erb,55,0.17199273836246573,-0.15831168996349906,0.058312370810852526,0.21662406077435156
MPI-ESM-P,P2F,10,1.9080586479933914,0.41288343456518833,0.09172529835181496,-0.32115813621337336
MPI-ESM-P,Temp12k,17,2.0148237458448293,0.0016864713416995117,0.04306142469464076,0.041374953352941175
MPI-ESM1-2-LR,Bartlein,46,2.7923462654971383,0.6752951437966166,-0.26949833446425303,-0.9447934782608697
MPI-ESM1-2-LR,Erb,55,0.4918339699595721,-0.476684432346055,-0.2600603715717037,0.21662406077435156
MPI-ESM1-2-LR,P2F,10,1.8582944406927513,0.053666888822440084,-0.26749124739093316,-0.32115813621337336
MPI-ESM1-2-LR,Temp12k,17,2.083454443442247,-0.35254155340429766,-0.3111666000513565,0.041374953352941175
MRI-CGCM3,Bartlein,46,2.9977948755490105,1.272658841928537,0.32786536366766744,-0.9447934782608697
MRI-CGCM3,Erb,55,0.10120586873773939,0.05910748742101503,0.2757315481953666,0.21662406077435156
MRI-CGCM3,P2F,10,1.9543031050067892,0.6228566527307747,0.3016985165174012,-0.32115813621337336
MRI-CGCM3,Temp12k,17,2.0289241905570052,0.2561492258633762,0.2975241792163174,0.041374953352941175
MRI-ESM2-0,Bartlein,46,2.9214031922706845,1.0848277529453327,0.14003427468446303,-0.9447934782608697
MRI-ESM2-0,Erb,55,0.23942868984352653,-0.04289942562619806,0.17372463514815348,0.21662406077435156
MRI-ESM2-0,P2F,10,1.9438323389683478,0.46887046629123946,0.1477123300778663,-0.32115813621337336
MRI-ESM2-0,Temp12k,17,2.0814711191805624,-0.030815903983104437,0.010559049369836804,0.041374953352941175
NESM3,Bartlein,46,2.8062859904396067,0.6742205096075269,-0.27057296865334257,-0.9447934782608697
NESM3,Erb,55,0.4503112070916284,-0.4332530338837499,-0.21662897310939838,0.21662406077435156
NESM3,P2F,10,1.9272128241034727,0.13979520243167695,-0.18136293378169643,-0.32115813621337336
NESM3,Temp12k,17,2.0535763520957016,-0.35628726862919996,-0.31491231527625874,0.041374953352941175
NorESM1-F,Bartlein,46,2.855403743181328,0.9082327340121431,-0.036560744248726504,-0.9447934782608697
NorESM1-F,Erb,55,0.26450390133599916,-0.23613768253348932,-0.019513621759137813,0.21662406077435156
NorESM1-F,P2F,10,1.9354649491569977,0.2523957440698058,-0.06876239214356737,-0.32115813621337336
NorESM1-F,Temp12k,17,2.0319472466659207,-0.19857127362490068,-0.15719632027195948,0.041374953352941175
NorESM2-LM,Bartlein,46,2.889592128685524,1.1251290113614956,0.18033553310062592,-0.9447934782608697
NorESM2-LM,Erb,55,0.1904829838634157,0.03679544723441602,0.2534195080087676,0.21662406077435156
NorESM2-LM,P2F,10,1.9885152626113214,0.39913883994480437,0.07798070373143093,-0.32115813621337336
NorESM2-LM,Temp12k,17,2.058336478334379,-0.00429247477358804,0.03708247857935312,0.041374953352941175
UofT-CCSM-4,Bartlein,46,2.8957264256248414,0.9941801439091782,0.049386665648308355,-0.9447934782608697
UofT-CCSM-4,Erb,55,0.1968072948557375,-0.15884857777173528,0.05777548300261631,0.21662406077435156
UofT-CCSM-4,P2F,10,1.9024587945053453,0.36703203849146815,0.0458739022780947,-0.32115813621337336
UofT-CCSM-4,Temp12k,17,2.016956117310534,-0.06893739371401404,-0.027562440361072863,0.041374953352941175
