model,compilation,n_points,rmse,bias
AWI-ESM-1-1-LR,Bartlein,98,4.792888874556687,1.4652398755786615
AWI-ESM-1-1-LR,Cleator,2214,3.537902731184869,2.75453268342113
AWI-ESM-1-1-LR,Osman,13536,4.902934865359838,3.3375071872381383
CCSM4,Bartlein,98,5.349693513252574,-1.0476242436764278
CCSM4,Cleator,2214,2.7808471361855696,0.9068243153173419
CCSM4,Osman,13824,3.6633495673708296,2.1359889787627884
CESM2-FV2,Bartlein,98,6.0593179633738075,-1.9237195663618714
CESM2-FV2,Cleator,2214,3.1263330297702434,-0.5622872332220545
CESM2-FV2,Osman,13824,3.1905260636259865,0.4605713582931973
CESM2-WACCM-FV2,Bartlein,98,6.202686901579347,-2.31742085622974
CESM2-WACCM-FV2,Cleator,2214,3.1825960070369046,-0.9035808799780033
CESM2-WACCM-FV2,Osman,13824,3.10915146802022,0.011808557352828684
CNRM-CM5,Bartlein,98,5.300034142532435,2.5261423957570406
CNRM-CM5,Cleator,2214,4.102245696748182,3.4359772334503442
CNRM-CM5,Osman,13536,6.162531995191834,4.419103106313652
COSMOS-ASO,Bartlein,98,4.8702451601481895,-0.44319294151474325
COSMOS-ASO,Cleator,2214,2.704133876126755,0.6178396765233977
COSMOS-ASO,Osman,13248,3.7471963609639016,1.576285028800015
FGOALS-g2,Bartlein,98,5.064723173947074,-1.4657932706330086
FGOALS-g2,Cleator,2214,2.7966135736044895,0.7142480265434078
FGOALS-g2,Osman,13824,3.961141703738809,2.334684050462314
GISS-E2-R,Bartlein,98,8.26106009702166,-3.1537986563624165
GISS-E2-R,Cleator,2199,5.172846976991297,-0.9046023629336808
GISS-E2-R,Osman,13442,4.339142500369647,2.245912514517893
INM-CM4-8,Bartlein,98,4.625707948332881,-0.8859732555331017
INM-CM4-8,Cleator,2214,2.386247344855306,1.23563694447418
INM-CM4-8,Osman,13536,5.00587485935815,3.3316899961170092
IPSL-CM5A-LR,Bartlein,98,4.481072449018013,-0.7303471555553931
IPSL-CM5A-LR,Cleator,2214,2.293258167226487,1.1133229951543169
IPSL-CM5A-LR,Osman,13824,4.423680318149416,2.4496887255525444
MIROC-ES2L,Bartlein,98,4.8367415406171865,0.20495997281918746
MIROC-ES2L,Cleator,2214,2.691052627775278,1.6476272290039922
MIROC-ES2L,Osman,13248,4.361049036087875,2.9958865531669563
MIROC-ESM,Bartlein,98,6.208975224926469,-2.2210439893226197
MIROC-ESM,Cleator,2214,3.1050064030615854,0.4347797071485523
MIROC-ESM,Osman,13248,3.359862166338233,2.038884395893535
MPI-ESM-P,Bartlein,98,5.205005207721777,-0.6947407377850984
MPI-ESM-P,Cleator,2214,2.68004524388977,1.2379435378959394
MPI-ESM-P,Osman,13536,4.104728022442336,2.6345687148568615
MPI-ESM1-2-LR,Bartlein,98,4.642390524482419,0.4076438654125495
MPI-ESM1-2-LR,Cleator,2214,2.9704246544840376,1.9081318462047632
MPI-ESM1-2-LR,Osman,13536,4.74533565551332,3.1404215910278115
MRI-CGCM3,Bartlein,98,4.817053179423639,0.38324952677027807
MRI-CGCM3,Cleator,2214,2.9740139724265737,1.7144976613346443
MRI-CGCM3,Osman,13536,4.437756676826766,2.3661218757685636
UofT-CCSM-4,Bartlein,98,5.639745760927743,-0.7616604342443342
UofT-CCSM-4,Cleator,2214,3.469097072729839,1.2271040760683674
UofT-CCSM-4,Osman,13824,4.037137757819619,1.7894287564633946
