model,compilation,n_points,rmse,bias
ACCESS-ESM1-5,Capron,7,2.9913574852876796,-2.2620576352306547
ACCESS-ESM1-5,Hoffman,78,3.0090425960055427,-0.6339797837154028
AWI-ESM-1-1-LR,Capron,7,3.658001965495394,-3.0484011193390392
AWI-ESM-1-1-LR,Hoffman,78,2.948395362989322,-1.0487686945829313
CESM2,Capron,7,3.7869437650083344,-3.3134729337275073
CESM2,Hoffman,78,2.954679058182687,-1.14553004536197
CNRM-CM6-1,Capron,7,3.03818756120247,-2.5590473266844476
CNRM-CM6-1,Hoffman,78,2.813262254034576,-0.5868224181755497
EC-Earth3-LR,Capron,7,3.0230285357238236,-2.8176551725393577
EC-Earth3-LR,Hoffman,78,3.18790320541148,-0.5383679903132856
FGOALS-f3-L,Capron,6,4.278131015282217,-3.9098077042770387
FGOALS-f3-L,Hoffman,78,3.0706219317104875,-1.3225559043993704
FGOALS-g3,Capron,7,3.2785348189870778,-2.7062718216353696
FGOALS-g3,Hoffman,78,2.896506640116316,-0.9212183386168465
GISS-E2-1-G,Capron,6,4.272099178808461,-3.9240938964207968
GISS-E2-1-G,Hoffman,78,2.9630879578215406,-1.047929774006605
HadGEM3-GC31-LL,Capron,6,3.417157817331072,-3.141120129018996
HadGEM3-GC31-LL,Hoffman,78,2.913496958542783,-0.706224524201988
INM-CM4-8,Capron,7,3.724037543846419,-3.2317907992771695
INM-CM4-8,Hoffman,78,3.0375277186324396,-1.094915911259203
IPSL-CM6A-LR,Capron,7,3.6442851509630017,-3.0967538198501052
IPSL-CM6A-LR,Hoffman,78,3.036266487721442,-1.1888206488984923
LOVECLIM,Capron,7,3.275808629894559,-2.8293199654411985
LOVECLIM,Hoffman,78,2.94314952412433,-0.9195118697207468
MIROC-ES2L,Capron,7,3.834754335692027,-3.3683914923245313
MIROC-ES2L,Hoffman,78,3.070376674851652,-1.3464069798846618
MPI-ESM1-2-LR,Capron,7,3.6686237690231933,-3.0882429139754097
MPI-ESM1-2-LR,Hoffman,78,2.919446546993864,-1.004786052477467
NESM3,Capron,7,3.3763353729876373,-2.553176673808782
NESM3,Hoffman,78,2.8149590865985026,-0.7982366677354806
NorESM1-F,Capron,7,3.8090104516865066,-3.3801186032295227
NorESM1-F,Hoffman,78,3.0090354969316224,-1.222977177230011
NorESM2-LM,Capron,7,3.6509021455310458,-3.1670992066292536
NorESM2-LM,Hoffman,78,2.97400006104947,-1.1748978636537966
