model,compilation,n_points,rmse,bias
ACCESS-ESM1-5,Bartlein,635,2.364555132429001,0.0942354887138452
ACCESS-ESM1-5,Erb,6144,0.5366618987872568,-0.3300576516736781
ACCESS-ESM1-5,P2F,124,2.1009145936603013,-0.49827733535627755
ACCESS-ESM1-5,Temp12k,335,1.9709915405242806,-0.3080484541311635
AWI-ESM-1-1-LR,Bartlein,635,2.4893626746078694,-0.6023725177246271
AWI-ESM-1-1-LR,Erb,5952,0.750848398243995,-0.5239490738851332
AWI-ESM-1-1-LR,P2F,124,2.1922856708167515,-0.9228389082386398
AWI-ESM-1-1-LR,Temp12k,335,2.1215276016027818,-0.962069838011135
BCC-CSM1-1,Bartlein,635,2.368526941337284,0.01637132201837566
BCC-CSM1-1,Erb,5952,0.3633426320050022,-0.2212085893430195
BCC-CSM1-1,P2F,124,2.0447189660868696,-0.5538253714326196
BCC-CSM1-1,Temp12k,335,1.9580000241944953,-0.4503642430739066
CCSM4,Bartlein,635,2.4025767800610622,-0.44715100549409775
CCSM4,Erb,6144,0.4879963961779551,-0.34457752301352096
CCSM4,P2F,124,2.132873090831825,-0.7559385302452751
CCSM4,Temp12k,335,2.040162855684115,-0.8160763943405236
CESM2,Bartlein,635,2.3928565748680395,-0.10950804286593403
CESM2,Erb,6144,0.4189599660592331,-0.28946861731574464
CESM2,P2F,124,2.0487020408263663,-0.6293794337580019
CESM2,Temp12k,335,1.9235701873456217,-0.5405497437209048
CNRM-CM5,Bartlein,635,2.40456127423342,0.4128834445286329
CNRM-CM5,Erb,6144,0.3633863353946161,0.09517983625056449
CNRM-CM5,P2F,124,1.9735629104740504,-0.14179698380801037
CNRM-CM5,Temp12k,335,1.9392155122157921,-0.010915484618025032
CSIRO-Mk3-6-0,Bartlein,635,2.3756642449808676,0.21102821470346175
CSIRO-Mk3-6-0,Erb,5952,0.38334255560283287,-0.06932392180133908
CSIRO-Mk3-6-0,P2F,124,1.9562287103476153,-0.3868046130104734
CSIRO-Mk3-6-0,Temp12k,335,1.871264469800709,-0.22333364564281907
EC-Earth3,Bartlein,635,2.3653809723878774,-0.05845335869405797
EC-Earth3,Erb,6144,0.4537278498026458,-0.3133461545636561
EC-Earth3,P2F,124,1.9895488915441089,-0.5351913050615454
EC-Earth3,Temp12k,335,1.9374986182794212,-0.4595519961876874
EC-Earth3-LR,Bartlein,635,2.415571614553004,0.342051761907594
EC-Earth3-LR,Erb,6144,0.47964295506567683,-0.1366214973338299
EC-Earth3-LR,P2F,124,2.132224843323202,-0.22842626873797423
EC-Earth3-LR,Temp12k,335,2.013331256340798,-0.0907832118077057
FGOALS-f3-L,Bartlein,635,2.3866503442832623,-0.36973315769118004
FGOALS-f3-L,Erb,6080,0.5294401684391701,-0.4503295709882832
FGOALS-f3-L,P2F,124,2.1061358636861294,-0.7848899331920098
FGOALS-f3-L,Temp12k,333,2.006342041971685,-0.7814691044801167
FGOALS-g2,Bartlein,635,2.497830991848072,-0.7562277499893248
FGOALS-g2,Erb,6144,0.8817540087425142,-0.8131360030000854
FGOALS-g2,P2F,124,2.304579179854681,-1.182070340599566
FGOALS-g2,Temp12k,335,2.2040906174518353,-1.1760075178471068
FGOALS-g3,Bartlein,635,2.4122374061258216,0.06342356813740238
FGOALS-g3,Erb,6144,0.48229659529592855,-0.31423166893125143
FGOALS-g3,P2F,124,2.0953543182579284,-0.7661945530979246
FGOALS-g3,Temp12k,335,1.9252249527865004,-0.4334508715672818
FGOALS-s2,Bartlein,635,2.3674101581721345,-0.10084408833458654
FGOALS-s2,Erb,6144,0.4456330859578183,-0.24971143410155738
FGOALS-s2,P2F,124,2.0319926930165346,-0.623131639864171
FGOALS-s2,Temp12k,335,1.941737656927894,-0.5383026212943806
GISS-E2-1-G,Bartlein,628,2.387455466845862,-0.23686021749234887
GISS-E2-1-G,Erb,6080,0.5507320682526028,-0.46385502384763433
GISS-E2-1-G,P2F,124,2.096054697066693,-0.7839121440398933
GISS-E2-1-G,Temp12k,333,2.0023079940133126,-0.7301252416815931
GISS-E2-R,Bartlein,628,2.382809047134621,-0.01597089843227512
GISS-E2-R,Erb,6080,0.5804721063354749,-0.18331397575429048
GISS-E2-R,P2F,124,2.051379673865562,-0.37744404968218936
GISS-E2-R,Temp12k,333,1.9581562581802316,-0.32480317539765996
HadGEM2-CC,Bartlein,635,2.465281497029603,0.5785712784623787
HadGEM2-CC,Erb,6144,0.5131807761785047,0.1296609673986511
HadGEM2-CC,P2F,124,2.079423210216705,-0.08929166218877808
HadGEM2-CC,Temp12k,335,2.0484221037045054,0.17542562256869132
HadGEM2-ES,Bartlein,635,2.467519027950273,0.6010198983394818
HadGEM2-ES,Erb,6144,0.45465214705227197,0.15509170258912663
HadGEM2-ES,P2F,124,1.974343719019048,-0.1348771470783665
HadGEM2-ES,Temp12k,335,1.933465782153419,0.12956495297953
HadGEM3-GC31-LL,Bartlein,635,2.364591303602741,0.04981894498242326
HadGEM3-GC31-LL,Erb,6080,0.4406641984970733,-0.21003393877622936
