model,Bartlein_RMSE,Cleator_RMSE,Osman_RMSE
AWI-ESM-1-1-LR,4.792888874556687,3.537902731184869,4.902934865359838
CCSM4,5.349693513252574,2.7808471361855696,3.6633495673708296
CESM2-FV2,6.0593179633738075,3.1263330297702434,3.1905260636259865
CESM2-WACCM-FV2,6.202686901579347,3.1825960070369046,3.10915146802022
CNRM-CM5,5.300034142532435,4.102245696748182,6.162531995191834
COSMOS-ASO,4.8702451601481895,2.704133876126755,3.7471963609639016
FGOALS-g2,5.064723173947074,2.7966135736044895,3.961141703738809
GISS-E2-R,8.26106009702166,5.172846976991297,4.339142500369647
INM-CM4-8,4.625707948332881,2.386247344855306,5.00587485935815
IPSL-CM5A-LR,4.481072449018013,2.293258167226487,4.423680318149416
MIROC-ES2L,4.8367415406171865,2.691052627775278,4.361049036087875
MIROC-ESM,6.208975224926469,3.1050064030615854,3.359862166338233
MPI-ESM-P,5.205005207721777,2.68004524388977,4.104728022442336
MPI-ESM1-2-LR,4.642390524482419,2.9704246544840376,4.74533565551332
MRI-CGCM3,4.817053179423639,2.9740139724265737,4.437756676826766
UofT-CCSM-4,5.639745760927743,3.469097072729839,4.037137757819619
