model,Capron_RMSE,Hoffman_RMSE
ACCESS-ESM1-5,2.9913574852876796,3.0090425960055427
AWI-ESM-1-1-LR,3.658001965495394,2.948395362989322
CESM2,3.7869437650083344,2.954679058182687
CNRM-CM6-1,3.03818756120247,2.813262254034576
EC-Earth3-LR,3.0230285357238236,3.18790320541148
FGOALS-f3-L,4.278131015282217,3.0706219317104875
FGOALS-g3,3.2785348189870778,2.896506640116316
GISS-E2-1-G,4.272099178808461,2.9630879578215406
HadGEM3-GC31-LL,3.417157817331072,2.913496958542783
INM-CM4-8,3.724037543846419,3.0375277186324396
IPSL-CM6A-LR,3.6442851509630017,3.036266487721442
LOVECLIM,3.275808629894559,2.94314952412433
MIROC-ES2L,3.834754335692027,3.070376674851652
MPI-ESM1-2-LR,3.6686237690231933,2.919446546993864
NESM3,3.3763353729876373,2.8149590865985026
NorESM1-F,3.8090104516865066,3.0090354969316224
NorESM2-LM,3.6509021455310458,2.97400006104947
