1. PROJECT
------------

Title: Glacial and Holocene Climates Reconstructed by Vegetation-Model Inversion
Dates: 01/10/15 - 31/09/19
Funding organisation: NERC, ERC
Grant no.: NERC award reference 1859127, ERC (Global Change 2.0: Unlocking the past for a clearer future (grant number 694481))

2. DATASET
------------

Title: A new multi-variable benchmark for Last Glacial Maximum climate simulations

Description: Reconstruction of climate anomalies for the Last Glacial Maximum (LGM, ca 21,000 years ago), made by combining pollen based reconstructions (from Bartlein et al. 2011) and averaged outputs of LGM simulations from the 3rd round of the Palaeoclimate Model Intercomparison Project (PMIP, Braconnot et al. 2011), under a variational data assimilation technique. This reconstruction is designed to be used for data-model comparison, specifically against the results of PMIP4. The dataset consists of 6 variables: moisture index (the ratio precipitation and equilibrium evapotranspiration), mean annual precipitation (mm), mean annual temperature (degrees C), mean temperature of the coldest month (degrees C), mean temperature of the warmest month (degrees C), growing degree days above 5 degrees C (day degrees C). The standard deviation of these variables is also given.

This dataset supersedes the version published at http://dx.doi.org/10.17864/1947.229, where an incorrect value for MI SD was used in Australia, a non-linear MAP non-dimensionalisation was used (instead of the linear one here), the background error covariance matrix was square rooted improperly and incorrect values for MI were used in central Asia.

Publication Year: 2020
Creator(s): S.F. Cleator, S.P. Harrison, N.K. Nichols, I.C. Prentice, I. Roulstone
Organisation(s): University of Surrey, University of Reading, Imperial College London
Rights-holder(s): S.F. Cleator, University of Surrey, University of Reading, Imperial College London

References:
    Bartlein et al. 2011 - P. J. Bartlein, S. P. Harrison, S. Brewer, S. Connor, B. A. S. Davis, K. Gajewski, J. Guiot, T. I. Harrison-Prentice, A. Henderson, O. Peyron, I. C. Prentice, M. Scholze, H. Seppä, B. Shuman, S. Sugita, R. S. Thompson, A. E. Viau, J. Williams, and H. Wu. Pollen-based continental climate reconstructions at 6 and 21 ka: a global synthesis. Climate Dynamics, 37:775–802, 2011.
    Braconnot et al. 2011 - Pascale Braconnot, Sandy P. Harrison, Bette Otto-Bliesner, Ayako Abe-Ouchi, Johann Jungclaus, and Jean-Yves Peterschmitt. The Paleoclimate Modeling Intercomparison Project contribution to CMIP5. CLIVAR Exchanges, 16(56):15–19, 2011.

3. TERMS OF USE
-----------------
Copyright 2020 Sean F. Cleator, University of Surrey, University of Reading, Imperial College London. This dataset is licensed by the rights-holder(s) under a Creative Commons Attribution 4.0 International Licence: https://creativecommons.org/licenses/by/4.0/.

4. CONTENTS
------------
File listing:
    LGM_reconstruction.csv - Last Glacial Maximum reconstruction anomalies at each grid cell.

5. METHOD and PROCESSING
--------------------------

This dataset is made by combining site-based pollen reconstructions with aggregated outputs of PMIP3. The possible climates are varied and the most likely climate is found under a 3D-Variational data assimilation scheme. The uncertainty from this process is then used to screen out areas where the pollen reconstructions have had a minimal effect. By using a vegetation model, the effect of changing CO_2 concentrations on pollen reconstructions is also accounted for. The error of the resulting reconstruction is also calculated and given as 1 standard deviation from the variables.

The individual fields are: 
    lat - grid cell centre latitude
    lon - grid cell centre longitude
    MI - moisture index
    MAP - mean annual precipitation (mm)
    MAT - mean annual temperature (degrees C)
    MTCO - mean temperature of the coldest month (degrees C)
    MTWA - mean temperature of the warmest month (degrees C)
    GDD5 - growing degree days above 5 degrees C (days degrees C)
    MI SD - moisture index standard deviation
    MAP SD - mean annual precipitation standard deviation (mm)
    MAT SD - mean annual temperature standard deviation (degrees C)
    MTCO SD - mean temperature of the coldest month standard deviation (degrees C)
    MTWA SD - mean temperature of the warmest month standard deviation (degrees C)
    GDD5 SD - growing degree days above 5 degrees C standard deviation (days degrees C)

# Reconstruction of anomalies of the Last Glacial Maximum (ca 21000 years ago) made by combining pollen based reconstructions and average PMIP3 outputs under a variational data assimilation technique.
# 
# Variables are given as:
# 
# lat - grid cell centre latitude
# lon - grid cell centre longitude
# MI - moisture index
# MAP - mean annual precipitation (mm)
# MAT - mean annual temperature (degrees C)
# MTCO - mean temperature of the coldest month (degrees C)
# MTWA - mean temperature of the warmest month (degrees C)
# GDD5 - growing degree days above 5 degrees C (days degrees C)
# MI SD - moisture index standard deviation
# MAP SD - mean annual precipitation standard deviation (mm)
# MAT SD - mean annual temperature standard deviation (degrees C)
# MTCO SD - mean temperature of the coldest month standard deviation (degrees C)
# MTWA SD - mean temperature of the warmest month standard deviation (degrees C)
# GDD5 SD - growing degree days above 5 degrees C standard deviation (days degrees C).
# 
# NaN values represent situations where a reconstruction isn't given.
# 
# lat, lon, MI, MAP, MAT, MTCO, MTWA, GDD5, MI SD, MAP SD, MAT SD, MTCO SD, MTWA SD, GDD5 SD
67.000000,-179.000000,-0.157671,-107.756000,-8.365533,-9.257900,-6.180790,0.000000,0.413432,63.348000,1.819880,1.867040,2.715190,0.000000
71.000000,-179.000000,  nan,-68.018000,-8.286363,-11.166500,-0.133230,0.000000,  nan,65.161400,2.174680,1.677960,3.849870,0.000000
67.000000,-177.000000,-0.108041,-97.395000,-9.008762,-10.285800,-5.549923,-9.300000,0.350733,60.430700,1.897390,1.967630,2.682340,0.000000
65.000000,-175.000000,-0.107582,-95.761000,-8.873616,-10.228400,-4.342390,-52.700000,0.342306,70.843400,1.706670,1.727400,2.291020,0.000000
65.000000,-173.000000,-0.172688,-102.447000,-8.879874,-10.363500,-3.766630,-252.465400,0.217121,66.213800,1.676070,1.771340,2.069360,64.149900
61.000000,-165.000000,  nan,-126.239000,-6.753733,-8.998700,-2.424700,-340.224000,  nan,75.721300,1.548260,2.403870,1.552370,143.627000
65.000000,-165.000000,-0.307004,-110.438000,-6.719114,-6.804400,-4.167020,-285.562700,0.119715,51.131000,1.095060,1.221580,1.115270,68.428900
61.000000,-163.000000,  nan,-160.484000,-6.049534,-6.661000,-4.250210,-493.455000,  nan,69.653300,1.518760,2.357540,1.561250,145.469000
63.000000,-163.000000,-0.331636,-126.495000,-6.044482,-6.159100,-4.608960,-383.774100,0.133605,65.505400,1.256240,1.849740,1.423280,85.615000
65.000000,-163.000000,-0.399359,-123.136000,-5.900993,-5.381300,-5.189170,-397.723000,0.089829,47.266800,0.955492,1.068220,0.999077,62.367600
61.000000,-161.000000,  nan,-171.520000,-5.700071,-5.605300,-6.045370,-531.606600,  nan,73.642600,1.520780,2.305720,1.718940,53.287100
63.000000,-161.000000,-0.340141,-130.822000,-5.377035,-5.152600,-5.791030,-548.226000,0.136844,64.238000,1.202220,1.737910,1.410260,85.299300
65.000000,-161.000000,-0.416240,-120.102000,-5.117670,-4.211800,-5.816690,-388.995100,0.091946,44.157600,0.869766,0.981500,0.947961,59.692100
67.000000,-161.000000,-0.248979,-70.084000,-4.858652,-3.538900,-5.781050,-358.200000,0.061073,28.035700,0.492150,0.644112,0.865252,0.000000
61.000000,-159.000000,  nan,-183.976000,-5.559772,-4.377900,-7.252990,-689.989100,  nan,71.328600,1.506190,2.260030,1.814370,109.604000
63.000000,-159.000000,  nan,-132.685000,-4.858613,-3.466300,-6.429320,-649.617000,  nan,63.857500,1.187270,1.361360,1.463820,88.657200
65.000000,-159.000000,-0.421317,-116.492000,-4.304814,-2.743800,-5.824490,-445.590100,0.091270,41.772900,0.839710,1.058030,0.954837,60.363200
67.000000,-159.000000,-0.301459,-71.687000,-4.001690,-2.386400,-5.933470,-397.933870,0.054462,26.467700,0.461660,0.606763,0.416070,34.277200
61.000000,-157.000000,  nan,-175.130000,-5.507456,-3.520800,-8.638100,-741.700000,  nan,72.340800,1.488160,1.874100,1.938590,0.000000
63.000000,-157.000000,  nan,-124.677000,-4.316129,-2.443100,-6.970180,-663.556000,  nan,65.073300,1.181670,1.347210,1.560860,137.312000
65.000000,-157.000000,  nan,-103.488000,-3.376921,-1.655500,-5.409560,-467.086000,  nan,42.368300,0.842406,1.033860,1.011280,63.459200
69.000000,-157.000000,  nan,-14.744000,-2.556127,-1.931300,-2.505700,-105.576560,  nan,33.541600,0.648048,0.742274,0.806973,25.016100
71.000000,-157.000000,  nan,20.323000,-3.701766,-4.803400,2.134840,66.180000,  nan,41.009200,1.092680,1.198320,1.453760,45.066800
63.000000,-155.000000,  nan,-122.769000,-4.036133,-1.381300,-7.962900,-729.805200,  nan,64.105100,1.150190,1.334910,1.615440,138.754000
65.000000,-155.000000,  nan,-81.902000,-2.382686,-0.496000,-4.782150,-407.062000,  nan,42.907800,0.838539,0.985996,1.072310,97.436700
69.000000,-155.000000,  nan,95.208000,-1.237978,-0.327000,-1.698420,-135.494000,  nan,46.283200,0.607763,0.751312,0.778775,52.166800
71.000000,-155.000000,  nan,42.196000,-2.895396,-3.618200,2.217720,85.926000,  nan,40.414600,1.025930,1.152670,1.343910,81.819300
65.000000,-153.000000,  nan,-60.586000,-1.444458,0.470200,-4.029500,-400.456000,  nan,39.459000,0.817681,0.938141,1.089850,129.503000
69.000000,-153.000000,  nan,64.204000,-0.324380,0.951700,-1.102150,-76.902000,  nan,37.260500,0.551160,0.689677,0.684297,64.106100
65.000000,-151.000000,  nan,-18.329000,-0.746817,1.157400,-3.432100,-305.132000,  nan,37.789800,0.756989,0.874492,1.022810,121.784000
