,Table S2. Annual - North Atlantic and Pacific SST (40-90N) and Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compilation reference,Site Name,Location,Latitude,Longitude,Proxy,Anom-2SD,Anom-1SD,Anom,Anom+1SD,Anom+2SD,,,,,,,,,,,,,,,,,,,
Capron et al. 2017,NEEM,Greenland,77.49,-51.2,Water isotopes,-0.5,3.4,7.3,11.2,15.1,,,,,,,,,,,,,,,,,,,
Capron et al. 2017,SU90-08_Alk,North Atlantic,43.35,-30.41,Alkenones,0.5,1.9,3.2,4.6,5.9,,,,,,,,,,,,,,,,,,,
Hoffman et al. 2017,M23323,North Atlantic,67.77,5.92,Alkenones,-7.1,-5.3,-3.5,0.0,3.5,,,,,,,,,,,,,,,,,,,
Hoffman et al. 2017,V28-14,North Atlantic,64.78,-29.57,Forams,-2.8,-0.2,2.3,3.8,5.4,,,,,,,,,,,,,,,,,,,
Hoffman et al. 2017,V27-20,North Atlantic,54,-46.2,Forams,0.9,2.2,3.6,4.8,5.9,,,,,,,,,,,,,,,,,,,
Hoffman et al. 2017,M23414-9,North Atlantic,53.53,-20.29,Forams,-6.3,-3.1,0.2,1.2,2.3,,,,,,,,,,,,,,,,,,,
Hoffman et al. 2017,V23-82,North Atlantic,52.58,-21.93,Forams,-9.1,-5.8,-2.5,-0.7,1.1,,,,,,,,,,,,,,,,,,,
Hoffman et al. 2017,K708-1,North Atlantic,50,-23.74,Forams,-4.6,-2.0,0.5,2.1,3.7,,,,,,,,,,,,,,,,,,,
Hoffman et al. 2017,V29-179,North Atlantic,44,-23.51,Forams,-5.6,-2.7,0.1,1.7,3.4,,,,,,,,,,,,,,,,,,,
Hoffman et al. 2017,Y7211-1,North Pacific,43.25,-126.38,Radiolaria,-8.3,-5.7,-3.0,-0.9,1.1,,,,,,,,,,,,,,,,,,,
Hoffman et al. 2017,D-117,North Atlantic,42.1,-52.75,Forams,-1.3,0.0,1.4,2.7,4.0,,,,,,,,,,,,,,,,,,,
Hoffman et al. 2017,V30-97,North Atlantic,41,-32.93,Forams,-4.0,-2.4,-0.9,0.4,1.7,,,,,,,,,,,,,,,,,,,
Hoffman et al. 2017,ODP1020,North Pacific,41,-126.43,Alkenones,-1.3,0.1,1.4,2.0,2.5,,,,,,,,,,,,,,,,,,,
Hoffman et al. 2017,MD95-2040,North Atlantic,40.58,-9.87,Alkenones,-5.2,-2.6,0.0,2.4,4.7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
