,,Table S4. Annual - SH Oceans and Antarctica (40-90S),,,,,,,,,
,,,,,,,,,,,
Compilation reference,,Core,Latitude,Longitude,Proxy,Location,Anom-2SD,Anom-1SD,Anom,Anom+1SD,Anom+2SD
Capron et al. 2017,1,EDML,-75,0,Water isotopes,Antarctica,-2,-0.5,0.9,2.4,3.8
Capron et al. 2017,2,EDC,-75.1,123.35,Water isotopes,Antarctica,-0.1,1.4,2.9,4.4,5.9
Capron et al. 2017,3,Dome F,-77.32,39.7,Water isotopes,Antarctica,0.2,1.7,3.3,4.8,6.4
Capron et al. 2017,4,Vostok,-78.47,106.87,Water isotopes,Antarctica,-1,0.5,1.9,3.4,4.8
Capron et al. 2017,5,MD97-2121_B,-40.22,177.59,Alkenones,Pac Ocean,1.5,3.3,5.1,6.9,8.7
Hoffman et al. 2017,6,MD97-2121,-40.38,177.98,Alkenones,Pac Ocean,5.2,6.1,7.0,7.8,8.5
Hoffman et al. 2017,7,RC15-61,-40.62,-77.2,Radiolaria,Pac Ocean,-6.9,-5.3,-3.7,-2.3,-0.8
Hoffman et al. 2017,8,ODP1089,-40.93,9.9,Alkenones,S. Atlantic,9.9,10.7,11.5,12.5,13.5
Hoffman et al. 2017,9,ODP1123,-41.79,-171.5,Forams,Pac Ocean,0.8,2.8,4.8,6.9,9.0
Hoffman et al. 2017,10,PS2489-2,-42.9,8.97,Forams,S. Atlantic,-2.2,-0.6,1.0,2.6,4.1
Hoffman et al. 2017,11,MD73-25,-43.82,51.3,Radiolaria,Ind Ocean,-8.7,-7.7,-6.8,-5.9,-4.9
Hoffman et al. 2017,12,MD97-2106,-45.15,146.29,Forams,Pac Ocean,-1.1,1.1,3.2,5.4,7.5
Hoffman et al. 2017,13,DSDP594,-45.5,174.95,Forams,Pac Ocean,-2.8,-1.2,0.5,2.2,4.0
Hoffman et al. 2017,14,MD97-2120,-45.52,174.93,Mg/Ca,Pac Ocean,6.1,6.9,7.7,9.0,10.4
Hoffman et al. 2017,15,MD88-770,-46.01,96.47,Diatoms,Ind Ocean,-0.2,0.9,1.9,3.0,4.0
Hoffman et al. 2017,16,Y9,-48.24,177.34,Forams,Pac Ocean,-0.2,1.9,4.0,6.2,8.4
Hoffman et al. 2017,17,MD97-2108,-48.5,149.11,Forams,Pac Ocean,-2.7,-0.4,1.9,4.0,6.0
Hoffman et al. 2017,18,MD97-2109,-50.63,169.38,Forams,Pac Ocean,-6.0,-3.7,-1.4,1.1,3.6
,,,,,,,,,,,
,,,,,,,,,,,
