lat,lon,anom,row,col
-79.5,-112.5,0.564948309,10,67
-78.5,108.5,0.13456121,11,288
-77.5,39.5,-0.154090909,12,219
-75.5,123.5,0.081796061,14,303
-74.5,97.5,-0.156755653,15,277
-66.5,112.5,0.095,23,292
-66.5,138.5,0.804,23,318
-64.5,-64.5,0.210747588,25,115
-64.5,-57.5,0.630609091,25,122
-54.5,-69.5,-0.064321429,35,110
-53.5,-58.5,1.865681335,36,121
-51.5,-70.5,1.689547619,38,109
-50.5,6.5,-1.726966667,39,186
-46.5,167.5,0.993306667,43,347
-46.5,169.5,0.31855,43,349
-45.5,170.5,0.30693,44,350
-43.5,167.5,1.24666868,46,347
-41.5,-74.5,0.581884799,48,105
-40.5,172.5,0.142709538,49,352
-37.5,175.5,0.088868182,52,355
-36.5,136.5,0.643266512,53,316
-36.5,174.5,-0.57,53,354
-36.5,177.5,1.79,53,357
-34.5,17.5,-0.127992982,55,197
-33.5,22.5,-0.261833333,56,202
-32.5,-72.5,2.684624283,57,107
-29.5,19.5,-0.814257005,60,199
-27.5,28.5,0.444215571,62,208
-25.5,-45.5,0.711791667,64,134
-25.5,13.5,0.720837222,64,193
-25.5,153.5,1.35,64,333
-24.5,28.5,0.676458333,65,208
-23.5,12.5,0.528208652,66,192
-19.5,37.5,0.36067355,70,217
-18.5,37.5,0.253029055,71,217
-17.5,-71.5,-0.136030205,72,108
-17.5,11.5,0.879231815,72,191
-15.5,-75.5,-0.380513131,74,104
-14.5,-61.5,0.75,75,118
-13.5,121.5,0.457255576,76,301
-11.5,-78.5,-0.228622672,78,101
-11.5,13.5,-0.556750367,78,193
-11.5,34.5,0.350833333,78,214
-9.5,-79.5,1.193896443,80,100
-9.5,118.5,-2.30527,80,298
-9.5,120.5,0.771586235,80,300
-8.5,112.5,-1.293567148,81,292
-7.5,39.5,-0.096999544,82,219
-7.5,105.5,-0.49146,82,285
-7.5,115.5,0.119205595,82,295
-5.5,11.5,0.300526878,84,191
-5.5,117.5,0.34042001,84,297
-5.5,133.5,0.402423587,84,313
-4.5,-36.5,0.523714862,85,143
-3.5,-81.5,0.661968609,86,98
-3.5,37.5,0.8625,86,217
-3.5,119.5,0.50066314,86,299
-2.5,144.5,-0.635758553,87,324
-2.5,156.5,-3.72179487,87,336
-0.5,99.5,0.001451868,89,279
0.5,37.5,1.116666667,90,217
1.5,98.5,0.272620894,91,278
2.5,9.5,2.194080797,92,189
2.5,36.5,-0.816166667,92,216
3.5,96.5,0.685841789,93,276
6.5,113.5,-0.000589433,96,293
6.5,125.5,-0.464578067,96,305
7.5,-83.5,0.21901254,97,96
8.5,109.5,-0.797807316,98,289
10.5,-65.5,0.869566134,100,114
10.5,51.5,-0.196402102,100,231
10.5,74.5,0.801704872,100,254
11.5,-66.5,-0.832227444,101,113
11.5,44.5,0.370447189,101,224
12.5,-61.5,-0.522078926,102,118
12.5,37.5,7.5075,102,217
14.5,57.5,0.584702303,104,237
20.5,-18.5,-0.286648838,110,161
20.5,117.5,-0.417253388,110,297
24.5,-83.5,-0.5197,114,96
24.5,65.5,0.508654342,114,245
26.5,-92.5,1.560269965,116,87
27.5,34.5,-0.556871428,117,214
30.5,-10.5,0.927060606,120,169
30.5,91.5,3.734745,120,271
30.5,110.5,1.139583333,120,290
31.5,-115.5,-0.913837323,121,64
31.5,34.5,-1.281765018,121,214
31.5,99.5,-0.466131643,121,279
31.5,110.5,2.828666667,121,290
31.5,117.5,1.663517349,121,297
31.5,128.5,-0.341059241,121,308
32.5,-109.5,-5.178114314,122,70
32.5,-4.5,0.16,122,175
32.5,81.5,-5.135,122,261
33.5,-119.5,0.2595,123,60
33.5,-78.5,0.671816667,123,101
33.5,101.5,1.69398841,123,281
34.5,-120.5,0.013728769,124,59
34.5,-95.5,0.055431667,124,84
34.5,128.5,-0.61086496,124,308
35.5,-7.5,-0.562713496,125,172
36.5,-115.5,3.079610405,126,64
36.5,-108.5,-0.333707865,126,71
36.5,-7.5,0.253023932,126,172
36.5,-4.5,0.242741341,126,175
36.5,-2.5,0.298541559,126,177
36.5,141.5,1.059917577,126,321
37.5,-111.5,-0.931333333,127,68
37.5,-110.5,-0.065976497,127,69
37.5,-108.5,-0.623846667,127,71
37.5,-107.5,-0.865928571,127,72
37.5,-31.5,1.143793519,127,148
37.5,-10.5,0.616317752,127,169
37.5,13.5,1.813333333,127,193
38.5,-107.5,-1.552641667,128,72
38.5,-106.5,1.265333333,128,73
38.5,-9.5,2.179820403,128,170
38.5,13.5,-0.094389429,128,193
38.5,43.5,1.186410715,128,223
39.5,-105.5,1.277657143,129,74
39.5,-10.5,0.062982619,129,169
40.5,-105.5,-1.4458,130,74
40.5,143.5,0.987575277,130,323
41.5,-124.5,-0.983327945,131,55
41.5,-86.5,-0.043333333,131,93
41.5,-84.5,0.235291667,131,95
41.5,-74.5,0.369520204,131,105
41.5,-73.5,0.59425,131,106
41.5,-70.5,-0.13125,131,109
41.5,-0.5,-3.658620748,131,179
41.5,23.5,-0.769642854,131,203
42.5,-109.5,-1.180333333,132,70
42.5,-73.5,-0.370477778,132,106
42.5,-72.5,1.233714285,132,107
42.5,-71.5,1.120875848,132,108
42.5,-55.5,1.941010105,132,124
42.5,126.5,5.665708333,132,306
42.5,140.5,-1.75,132,320
43.5,-112.5,-0.809355154,133,67
43.5,-95.5,-1.311708333,133,84
43.5,-93.5,-1.809166667,133,86
43.5,-89.5,-0.092529167,133,90
43.5,-88.5,0.308275,133,91
43.5,-85.5,1.91055,133,94
43.5,-80.5,-0.451778572,133,99
43.5,-69.5,-0.106083333,133,110
43.5,-64.5,0.478703704,133,115
43.5,-62.5,4.244019137,133,117
43.5,-54.5,3.291360414,133,125
43.5,-6.5,1.259955357,133,173
43.5,-3.5,-0.511392858,133,176
43.5,-2.5,-0.106493506,133,177
43.5,28.5,-4.778999998,133,208
43.5,40.5,1.809285712,133,220
44.5,-123.5,0.27825,134,56
44.5,-99.5,2.3946,134,80
44.5,-93.5,0.541547618,134,86
44.5,-87.5,1.161666667,134,92
44.5,-78.5,-0.21855,134,101
44.5,-76.5,-0.226479798,134,103
44.5,-70.5,0.169066667,134,109
44.5,-69.5,0.16425,134,110
44.5,7.5,3.126761904,134,187
44.5,10.5,3.133214285,134,190
44.5,145.5,-0.757064971,134,325
45.5,-122.5,1.288541667,135,57
45.5,-120.5,2.090333333,135,59
45.5,-93.5,0.085694444,135,86
45.5,-79.5,-0.124652778,135,100
45.5,-77.5,-0.144956061,135,102
45.5,-73.5,0.200555556,135,106
45.5,-70.5,0.9005,135,109
45.5,-68.5,0.70962518,135,111
45.5,5.5,-0.46143991,135,185
46.5,-98.5,0.294363636,136,81
46.5,-95.5,-1.3525,136,84
46.5,-94.5,0.896673016,136,85
46.5,-88.5,1.189642857,136,91
46.5,-87.5,1.266333333,136,92
46.5,-78.5,0.603285714,136,101
46.5,-77.5,0.768416667,136,102
46.5,-73.5,1.2913,136,106
46.5,-70.5,0.5824,136,109
46.5,6.5,0.978743198,136,186
46.5,7.5,1.137499244,136,187
46.5,8.5,2.083689414,136,188
46.5,10.5,0.531250001,136,190
46.5,11.5,2.545714286,136,191
46.5,17.5,-4.339095239,136,197
46.5,32.5,-3.84386905,136,212
47.5,-93.5,1.316533333,137,86
47.5,-64.5,2.260556548,137,115
47.5,-53.5,-0.567,137,126
47.5,-2.5,2.010642859,137,177
47.5,-1.5,1.234505952,137,178
47.5,7.5,-0.476716991,137,187
47.5,8.5,3.138616072,137,188
47.5,11.5,1.484441137,137,191
47.5,12.5,-0.106607142,137,192
48.5,-124.5,-0.577333333,138,55
48.5,-64.5,0.901,138,115
48.5,-0.5,1.713333335,138,179
48.5,6.5,0.888333333,138,186
48.5,8.5,2.03125577,138,188
49.5,-102.5,2.6508,139,77
49.5,-74.5,0.356571429,139,105
49.5,-65.5,8.35025,139,114
49.5,-1.5,-0.068750001,139,178
49.5,-0.5,1.217785716,139,179
49.5,19.5,-2.633507654,139,199
49.5,21.5,2.644219387,139,201
49.5,25.5,0.2,139,205
49.5,117.5,0.4265,139,297
50.5,-99.5,1.4905,140,80
50.5,-66.5,0.447166667,140,113
50.5,-56.5,1.336666667,140,123
50.5,-55.5,14.34184821,140,124
50.5,0.5,1.35916512,140,180
50.5,6.5,-0.401666592,140,186
50.5,11.5,-2.380292208,140,191
50.5,16.5,-3.146785717,140,196
51.5,-100.5,7.479722222,141,79
51.5,23.5,1.141428572,141,203
52.5,-131.5,0.088,142,48
52.5,-67.5,3.15025,142,112
52.5,-66.5,0.72725,142,113
52.5,-58.5,-1.6452,142,121
52.5,-56.5,-1.242166667,142,123
52.5,17.5,3.299881697,142,197
52.5,19.5,3.616357623,142,199
52.5,20.5,0.397699134,142,200
53.5,-66.5,1.63175,143,113
53.5,8.5,-1.614664683,143,188
53.5,17.5,-0.501467532,143,197
53.5,20.5,3.477559522,143,200
53.5,36.5,1.246583333,143,216
54.5,-101.5,1.301633333,144,78
54.5,-69.5,-2.107515152,144,110
54.5,-56.5,0.59178671,144,123
54.5,-6.5,-0.60406746,144,173
54.5,18.5,1.06406746,144,198
54.5,24.5,1.0715,144,204
54.5,28.5,1.138928573,144,208
55.5,-119.5,1.101,145,60
55.5,-75.5,-0.2064,145,104
55.5,-73.5,-0.41975,145,106
55.5,-63.5,-1.042,145,116
55.5,-62.5,-0.243690476,145,117
55.5,-26.5,2.365209076,145,153
55.5,-14.5,1.025,145,165
55.5,13.5,0.344928571,145,193
56.5,-119.5,-1.052333333,146,60
56.5,-101.5,-4.88675,146,78
56.5,-75.5,-0.09675,146,104
56.5,-74.5,-0.105925,146,105
56.5,-64.5,-0.350928572,146,115
56.5,-31.5,2.433454187,146,148
56.5,-27.5,0.94578825,146,152
56.5,32.5,1.867666667,146,212
57.5,-76.5,-0.310757143,147,103
57.5,-75.5,-0.071285714,147,104
57.5,-27.5,-2.175873788,147,152
57.5,-3.5,-2.556428572,147,176
57.5,8.5,2.290789528,147,188
57.5,14.5,3.051726191,147,194
58.5,-75.5,0.299333333,148,104
58.5,-71.5,-0.49,148,108
58.5,-48.5,-0.55345,148,131
58.5,-6.5,-0.750392857,148,173
58.5,11.5,1.6489,148,191
58.5,13.5,1.346996753,148,193
58.5,22.5,2.356843537,148,202
58.5,26.5,2.700519841,148,206
58.5,27.5,-1.599183675,148,207
59.5,-144.5,-0.645303612,149,35
59.5,6.5,1.832821429,149,186
59.5,16.5,2.493688889,149,196
59.5,24.5,3.8845,149,204
59.5,27.5,-0.012925171,149,207
60.5,-6.5,-1.239772727,150,173
60.5,15.5,1.121159091,150,195
60.5,24.5,2.82675,150,204
61.5,-130.5,0.6053125,151,49
61.5,-100.5,-1.475214286,151,79
61.5,-58.5,-0.309857143,151,121
61.5,-24.5,0.783783049,151,155
61.5,-20.5,-0.400535714,151,159
61.5,16.5,2.72565,151,196
61.5,24.5,2.179028788,151,204
61.5,26.5,1.592259091,151,206
62.5,-17.5,-0.747240307,152,162
62.5,0.5,-3.087777778,152,180
62.5,22.5,2.936809524,152,202
63.5,5.5,0.287099441,153,185
64.5,-138.5,0.670509259,154,41
64.5,-128.5,2.3599,154,51
64.5,-127.5,0.498,154,52
64.5,-110.5,0.1865,154,69
64.5,-24.5,1.551805556,154,155
65.5,-127.5,2.213216667,155,52
65.5,-126.5,2.07,155,53
65.5,-43.5,1.214583333,155,136
66.5,-66.5,1.880269841,156,113
66.5,-23.5,2.02109072,156,156
66.5,-21.5,1.240288592,156,158
66.5,-20.5,1.535000194,156,159
66.5,-18.5,0.516203624,156,161
66.5,7.5,0.19128362,156,187
66.5,13.5,-0.018222576,156,193
66.5,14.5,1.4088,156,194
66.5,29.5,-2.101309524,156,209
67.5,-50.5,-1.7903,157,129
68.5,-138.5,1.588,158,41
68.5,-133.5,0.222,158,46
68.5,-106.5,0.784714286,158,73
68.5,-54.5,0.417222222,158,125
68.5,-29.5,-0.0416,158,150
68.5,13.5,-5.797425594,158,193
68.5,19.5,0.958416667,158,199
69.5,20.5,0.696857143,159,200
71.5,22.5,0.63,161,202
71.5,42.5,-0.039914286,161,222
72.5,-157.5,-0.08697619,162,22
72.5,-155.5,-0.559,162,24
72.5,-38.5,0.920480301,162,141
73.5,-162.5,0.29624,163,17
73.5,-120.5,3.1201875,163,59
74.5,13.5,0.655224764,164,193
75.5,-82.5,-0.046666667,165,97
75.5,-42.5,1.516218182,165,137
75.5,14.5,-1.314666667,165,194
78.5,6.5,0.136469727,168,186
79.5,5.5,1.298272727,169,185
81.5,-63.5,-0.405501731,171,116
