model,experiment,years,GMTemp,ATL3 mean,IOD stddev,Nino34 stddev,AtlNino mean,AtlNino stddev,AtlNino AnnCycAmp,AMM mean,AMM stddev,AMM AnnCycAmp,global_mean_absolute_temperatures,global_mean_precipitation,NAO DJF,PDO mon
ACCESS-ESM1-5,1pctCO2,150,16.666,29.0006,0.524464,1.04392,29.0006,0.449329,3.49575,1.28553,0.392957,5.83877,16.666,3.29795,1.61709,0.330921
AWI-ESM-1-1-LR,1pctCO2,250,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
BCC-CSM1-1,1pctCO2,140,15.632,28.236,0.376207,0.554903,28.236,0.310564,3.87632,-0.0991121,0.428648,7.64517,15.632,2.87934,2.08098,0.350451
BEST,observations,74,14.4286,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,14.4258,1e+20,1e+20,1e+20
CCSM4,1pctCO2,156,15.4803,28.8334,0.542629,0.739931,28.8334,0.381853,4.05894,0.0925684,0.332322,6.5502,15.4803,3.01203,2.11552,0.353655
CESM1,Forced,66,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
CESM1,Forced,37,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
CESM1,Forced,66,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
CESM2,1pctCO2,150,16.4545,30.3608,0.409131,0.964739,30.3608,0.306384,3.88751,1.33336,0.300311,6.94118,16.4545,3.04764,2.16319,0.345208
CNRM-CM5,1pctCO2,140,15.2814,28.8451,0.629043,0.943397,28.8451,0.347071,2.72097,-0.682011,0.405906,8.16234,15.2814,3.14538,1.59278,0.294457
CNRM-CM6-1,1pctCO2,150,15.5025,29.622,0.51604,1.13668,29.622,0.325357,3.74252,0.108896,0.37453,9.33228,15.5025,3.00666,2.38832,0.229274
CSIRO-Mk3-6-0,1pctCO2,140,14.5453,25.7044,0.755558,0.985594,25.7044,0.340617,3.64352,4.48238,0.384955,5.83523,14.5453,2.97506,1.77204,0.350372
CSIRO-Mk3L-1-2,1pctCO2,140,15.6683,28.4881,0.458439,0.533145,28.4881,0.245497,4.46573,1.80035,0.292594,7.59076,15.6683,2.78392,1.41102,0.228659
ERA20c,ERA5,124,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,2.00198,-32767
ERA5,1,74,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2.88842,1e+20,1e+20
ERA5,2,45,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,2.30534,-32767
