model,experiment,years,GMTemp,ATL3 mean,IOD stddev,Nino34 stddev,AtlNino mean,AtlNino stddev,AMM AnnCycAmp,global_mean_absolute_temperatures,global_mean_precipitation,NAO DJF,PDO mon
ACCESS-ESM1-5,1pctCO2,150,18.3587,29.0004,0.523611,1.04485,30.6248,0.448505,6.17524,18.3587,3.36377,1.67746,0.43792
AWI-ESM-1-1-LR,1pctCO2,250,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
BCC-CSM1-1,1pctCO2,140,17.0517,28.2366,0.377041,0.55427,29.5498,0.308926,7.75021,17.0517,2.94422,2.07775,0.37146
CCSM4,1pctCO2,156,17.2102,28.8335,0.542135,0.739801,30.1067,0.381338,6.59146,17.2102,3.08448,2.11455,0.40289
CESM2,1pctCO2,150,18.5271,30.3614,0.418535,0.965283,32.8075,0.30716,6.9642,18.5271,3.14673,2.17287,0.347807
CESM2-FV2,1pctCO2,150,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
CNRM-CM5,1pctCO2,140,16.8534,28.8455,0.629033,0.943195,30.2495,0.34943,8.13975,16.8534,3.21326,1.61174,0.257785
CNRM-CM6-1,1pctCO2,150,17.7767,29.6222,0.517796,1.13865,31.7537,0.326494,9.73856,17.7767,3.1035,2.40791,0.295249
CSIRO-Mk3-6-0,1pctCO2,140,16.0131,25.7043,0.757909,0.986113,27.3581,0.341545,5.99029,16.0131,3.04954,1.78201,0.370645
CSIRO-Mk3L-1-2,1pctCO2,140,16.8745,28.4881,0.458606,0.533941,29.8932,0.24536,7.67758,16.8745,2.83417,1.48869,0.272271
FGOALS-f3-L,1pctCO2,160,17.422,28.2664,0.624911,1.40457,29.7113,0.39276,5.46006,17.4178,3.0636,2.12009,0.308249
FGOALS-g2,1pctCO2,244,17.1115,28.778,0.341851,0.502028,30.2811,0.185036,5.37004,17.1115,3.01894,1.93178,0.571891
FGOALS-g3,1pctCO2,157,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
FGOALS-s2,1pctCO2,140,17.6186,28.2664,0.508289,1.42841,30.083,0.351184,5.53728,17.6186,2.8664,2.12286,0.375041
